"unitid","college","type","city","state","region","admissionRate","ACTmath","ACTenglish","undergrads","cost","gradRate","FYretention","fedloan","debt"
218919,"Voorhees College","private","Denmark","SC","Southeast",0.5051,NA,NA,536,24486,0.3303,0.4628,0.8841,25000
217998,"Erskine College","private","Due West","SC","Southeast",0.6973,22,21,574,45198,0.5644,0.8321,0.6173,27000
157809,"Thomas More College","private","Crestview Hills","KY","Southeast",0.8775,22,23,1208,36843,0.5703,0.5977,0.5357,27000
198862,"Livingstone College","private","Salisbury","NC","Southeast",0.7122,16,12,1172,25050,0.2036,0.5296,0.9334,40000
218973,"Wofford College","private","Spartanburg","SC","Southeast",0.688,25,26,1610,47856,0.8156,0.895,0.412,24000
159373,"Louisiana State University Health Sciences Center-New Orleans","public","New Orleans","LA","Southeast",NA,NA,NA,915,NA,NA,NA,0.5177,16229
218229,"Lander University","public","Greenwood","SC","Southeast",0.4216,20,19,2750,21628,0.515,0.6138,0.6743,26780
198507,"Elizabeth City State University","public","Elizabeth City","NC","Southeast",0.5715,18,17,2276,10620,0.4159,0.7247,0.7652,24886
237950,"West Virginia University Institute of Technology","public","Montgomery","WV","Southeast",0.5131,20,22,1133,14465,0.2024,0.5316,0.5113,23808
132903,"University of Central Florida","public","Orlando","FL","Southeast",0.4894,NA,NA,50919,19815,0.6724,0.8711,0.4547,18500
159391,"Louisiana State University and Agricultural & Mechanical College","public","Baton Rouge","LA","Southeast",0.7623,25,26,23990,20422,0.6914,0.8249,0.3532,19500
237899,"West Virginia State University","public","Institute","WV","Southeast",0.4478,19,20,2195,13756,0.1868,0.5176,0.5265,23787.5
217882,"Clemson University","public","Clemson","SC","Southeast",0.5787,NA,NA,16801,27944,0.8253,0.9194,0.4174,22388.5
218663,"University of South Carolina-Columbia","public","Columbia","SC","Southeast",0.606,26,27,23987,23685,0.7268,0.8738,0.4922,22500
218061,"Francis Marion University","public","Florence","SC","Southeast",0.5667,19,19,3380,19965,0.4059,0.6683,0.7148,31251
219602,"Austin Peay State University","public","Clarksville","TN","Southeast",0.8595,22,20,9271,18852,0.3603,0.6618,0.5866,25000
137351,"University of South Florida-Main Campus","public","Tampa","FL","Southeast",0.4524,26,26,30376,19299,0.6321,0.8878,0.4783,19735
237932,"West Liberty University","public","West Liberty","WV","Southeast",0.7122,20,21,2412,18406,0.4148,0.677,0.6177,24624
198543,"Fayetteville State University","public","Fayetteville","NC","Southeast",0.5496,18,17,5077,13188,0.3215,0.7133,0.7136,21232
134130,"University of Florida","public","Gainesville","FL","Southeast",0.4655,28,29,32346,20456,0.8654,0.9646,0.3506,15132.5
436614,"International Baptist College and Seminary","private","Chandler","AZ","Southwest",NA,NA,NA,43,24192,0.5556,0.5,0.2407,NA
206835,"Oklahoma Wesleyan University","private","Bartlesville","OK","Southwest",0.4934,21,20,1110,32241,0.5688,0.5036,0.8123,23166
105899,"Arizona Christian University","private","Phoenix","AZ","Southwest",0.6076,22,22,491,34444,0.4737,0.6809,0.5183,22625
247825,"Austin Graduate School of Theology","private","Austin","TX","Southwest",NA,NA,NA,28,NA,NA,NA,0.5263,NA
104665,"Frank Lloyd Wright School of Architecture","private","Scottsdale","AZ","Southwest",NA,NA,NA,2,NA,NA,NA,0.3333,NA
417752,"Messenger College","private","Euless","TX","Southwest",0.7619,NA,NA,47,17578,0.1579,0.4,0.7,NA
207856,"Southwestern Christian University","private","Bethany","OK","Southwest",0.884,21,18,801,22983,0.2973,0.5158,0.7856,23316
229115,"Texas Tech University","public","Lubbock","TX","Southwest",0.663,25,24,26809,20900,0.5904,0.8233,0.4932,23246.5
207342,"University of Oklahoma-Health Sciences Center","public","Oklahoma City","OK","Southwest",NA,NA,NA,818,NA,NA,NA,0.6377,20000
206914,"Cameron University","public","Lawton","OK","Southwest",NA,NA,NA,5043,14852,0.2025,0.604,0.4073,18602.5
420574,"Arizona State University-Polytechnic","public","Mesa","AZ","Southwest",0.7479,25,23,3305,21256,0.5505,0.8378,0.5658,20375
207041,"East Central University","public","Ada","OK","Southwest",0.9814,19,20,3757,13735,0.3384,0.6252,0.4532,19500
225432,"University of Houston-Downtown","public","Houston","TX","Southwest",0.9509,19,17,13297,18879,0.1408,0.6309,0.4419,21000
227526,"Prairie View A & M University","public","Prairie View","TX","Southwest",0.4232,19,17,6731,16782,0.3652,0.6788,0.7982,29052
