"id","age","sex","race","hispanic","region","educ","paeduc","maeduc","relig","happy","income","polviews","partyid","grass","commute","wrkstat","wrkslf","wrkgovt","marital","confinan","conclerg","coneduc","conpress","conjudge","consci","conlegis","conarmy","joblose","jobfind","satjob"
11,"33","FEMALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","12","12","13","PROTESTANT","DK","LT $1000","DK","STRONG DEMOCRAT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",NA,NA,"MOD. SATISFIED"
12,"86","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","12","DK","PROTESTANT","NOT TOO HAPPY","LT $1000","SLGHTLY CONSERVATIVE","STRONG REPUBLICAN",NA,NA,"RETIRED","SOMEONE ELSE","PRIVATE","WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"32","MALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","12",NA,"DK","CATHOLIC","VERY HAPPY","$8000 TO 9999","SLIGHTLY LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","DK","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","NOT TOO LIKELY","SOMEWHAT EASY","A LITTLE DISSAT"
14,"60","FEMALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","DK","DK","DK","PROTESTANT","VERY HAPPY","$10000 - 14999","LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","GOVERNMENT","MARRIED","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
15,"76","MALE","WHITE","NOT HISPANIC","NEW ENGLAND","10","DK","DK","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","NOT LEGAL",NA,"TEMP NOT WORKING","SOMEONE ELSE","PRIVATE","DIVORCED","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","DK","ONLY SOME","ONLY SOME","NOT TOO LIKELY","NOT EASY","MOD. SATISFIED"
16,"33","FEMALE","WHITE","NOT HISPANIC","NEW ENGLAND","13","12",NA,"OTHER","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME",NA,NA,"VERY SATISFIED"
17,"56","MALE","WHITE","PUERTO RICAN","NEW ENGLAND","13","5","8","PROTESTANT","VERY HAPPY","$25000 OR MORE","CONSERVATIVE",NA,"LEGAL",NA,"TEMP NOT WORKING","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
18,"62","FEMALE","OTHER","PUERTO RICAN","NEW ENGLAND","10",NA,"DK","PROTESTANT","PRETTY HAPPY","$5000 TO 5999","SLIGHTLY LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","WIDOWED","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"DK"
19,"31","MALE","BLACK","NOT HISPANIC","NEW ENGLAND","18","12","14","NONE","PRETTY HAPPY","$25000 OR MORE","LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","NOT EASY","MOD. SATISFIED"
20,"43","MALE","BLACK","NOT HISPANIC","NEW ENGLAND","13","16","16","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","LIBERAL","STRONG DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","NOT EASY","A LITTLE DISSAT"
21,"58","FEMALE","WHITE","NOT HISPANIC","NEW ENGLAND","12","12","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","NOT LIKELY","NOT EASY","VERY SATISFIED"
22,"32","FEMALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","11","12","12","NONE","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","INDEPENDENT","LEGAL",NA,"TEMP NOT WORKING","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
23,"23","FEMALE","OTHER","SALVADORIAN","MIDDLE ATLANTIC","10",NA,"8","NONE","VERY HAPPY","$20000 - 24999","SLIGHTLY LIBERAL","IND,NEAR DEM","NOT LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","NOT LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
24,"37","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","10","10","CATHOLIC","VERY HAPPY","$25000 OR MORE","EXTRMLY CONSERVATIVE","INDEPENDENT","LEGAL",NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","MARRIED","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
25,"25","FEMALE","WHITE","HONDURAN","MIDDLE ATLANTIC","15","14",NA,"CATHOLIC","PRETTY HAPPY","$20000 - 24999","LIBERAL","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
26,"76","FEMALE","WHITE","PUERTO RICAN","MIDDLE ATLANTIC","3","DK",NA,"PROTESTANT","NOT TOO HAPPY","$5000 TO 5999","DK","STRONG DEMOCRAT","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","SEPARATED","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",NA,NA,NA
27,"71","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","19","DK","12","JEWISH","VERY HAPPY","REFUSED","LIBERAL","STRONG DEMOCRAT",NA,NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"22","MALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","14","12","12","NONE","NOT TOO HAPPY","DK","MODERATE","INDEPENDENT","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY","ONLY SOME","NOT LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
29,"74","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","18","17","12","JEWISH","PRETTY HAPPY","$25000 OR MORE","MODERATE","NOT STR DEMOCRAT","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","WIDOWED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,NA
30,"75","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","12",NA,"ORTHODOX-CHRISTIAN","NOT TOO HAPPY","$25000 OR MORE","CONSERVATIVE","IND,NEAR REP","LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","DIVORCED","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,NA
31,"32","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","12","12","NONE","NOT TOO HAPPY","$25000 OR MORE","LIBERAL","IND,NEAR DEM","LEGAL",NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"DK"
32,"68","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","12","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
33,"55","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12",NA,"12","NONE","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","IND,NEAR REP",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY","VERY SATISFIED"
34,"46","MALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","14","12","16","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR DEMOCRAT","LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","MARRIED","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,NA
35,"58","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","12","12","CATHOLIC","NOT TOO HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT",NA,NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","SEPARATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"35","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12",NA,"12","NONE","NOT TOO HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","NOT TOO LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
37,"59","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","16","12","12","CATHOLIC","NOT TOO HAPPY","$25000 OR MORE","CONSERVATIVE","IND,NEAR DEM","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","NOT EASY","A LITTLE DISSAT"
38,"43","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","16",NA,"16","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY",NA
39,"58","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","16","16","16","PROTESTANT","VERY HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
40,"79","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","14","DK",NA,"JEWISH","PRETTY HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT","LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","WIDOWED","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME","DK","HARDLY ANY","A GREAT DEAL",NA,NA,NA
41,"40","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12",NA,"16","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","EXTRMLY CONSERVATIVE","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",NA,NA,"VERY DISSATISFIED"
42,"44","FEMALE","OTHER","DOMINICAN","MIDDLE ATLANTIC","12",NA,"8","CATHOLIC","NOT TOO HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
43,"68","FEMALE","OTHER","NOT HISPANIC","MIDDLE ATLANTIC","16","14","16","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","NOT STR REPUBLICAN","DK",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","DK","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME","NOT LIKELY","DK","MOD. SATISFIED"
44,"36","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","20","20","17","NONE","NOT TOO HAPPY","$25000 OR MORE","LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","HARDLY ANY","HARDLY ANY","A GREAT DEAL","ONLY SOME","DK","A GREAT DEAL","HARDLY ANY","HARDLY ANY",NA,NA,"MOD. SATISFIED"
45,"70","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","17","DK","DK","JEWISH","VERY HAPPY","$10000 - 14999","MODERATE","NOT STR REPUBLICAN","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","DIVORCED","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",NA,NA,NA
46,"28","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","15","12","16","NONE","VERY HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
47,"35","FEMALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","16","12","12","CATHOLIC","PRETTY HAPPY","REFUSED","LIBERAL","NOT STR DEMOCRAT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
48,"33","MALE","OTHER","NOT HISPANIC","MIDDLE ATLANTIC","16","16","12","NONE","NOT TOO HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","IND,NEAR DEM",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
49,"23","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","17","20","18","JEWISH","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","INDEPENDENT","LEGAL",NA,"SCHOOL",NA,NA,"NEVER MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,NA
50,"47","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","16",NA,"18","PROTESTANT","VERY HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
51,"25","FEMALE","OTHER","NOT HISPANIC","MIDDLE ATLANTIC","16","18","16","NONE","VERY HAPPY","$25000 OR MORE","LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","HARDLY ANY","A GREAT DEAL","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","NOT TOO LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
52,"70","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","12","12","12","JEWISH","PRETTY HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","STRONG DEMOCRAT",NA,NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"20","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","13","16","16","CATHOLIC","VERY HAPPY","DK","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","DK","ONLY SOME","A GREAT DEAL","NOT LIKELY","VERY EASY","VERY SATISFIED"
54,"41","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","19","14","12","CATHOLIC","VERY HAPPY","REFUSED","MODERATE","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
55,"53","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","16","12","12","CATHOLIC","VERY HAPPY","REFUSED","CONSERVATIVE","STRONG REPUBLICAN",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","VERY EASY","MOD. SATISFIED"
56,"42","FEMALE","WHITE","SPANISH","MIDDLE ATLANTIC","16","14","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING PARTTIME","SELF-EMPLOYED","PRIVATE","MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","NOT LIKELY","VERY EASY","VERY SATISFIED"
57,"40","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","17","16","14","JEWISH","PRETTY HAPPY","$25000 OR MORE","MODERATE","NOT STR DEMOCRAT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","NOT LIKELY","SOMEWHAT EASY","A LITTLE DISSAT"
58,"57","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","17","16","18","JEWISH","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
59,"59","FEMALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","20","20","20","JEWISH","PRETTY HAPPY","$8000 TO 9999","LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"A LITTLE DISSAT"
60,"35","FEMALE","WHITE","PUERTO RICAN","MIDDLE ATLANTIC","10",NA,"9","CATHOLIC","PRETTY HAPPY","$10000 - 14999","SLGHTLY CONSERVATIVE","STRONG DEMOCRAT",NA,NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"26","MALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","13",NA,"14","PROTESTANT","PRETTY HAPPY","$20000 - 24999","MODERATE","INDEPENDENT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
62,"35","MALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","12","18","DK","PROTESTANT","NOT TOO HAPPY","LT $1000","CONSERVATIVE","INDEPENDENT","NOT LEGAL",NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","WIDOWED","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
