PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
20225,20662,-2.1,20662,5.9,23.4,21.7,50.8,94.5,0.5,2,0.6,0,2.4,6.4,88.6,88.1,2.8,4.7,85.1,12.3,2163,20.3,10034,77,5.3,82700,8069,2.53,19116,32835,23.1,453,5036,-2,1461,1931,0,0,0,0,0,22.6,303468,47813,176896,8785,14410,2,857.68,24.1
138630,138442,0.1,138428,5.6,22.8,16.3,50.7,80.1,16.6,0.6,1.1,0.1,1.5,8.2,72.9,87.3,5.3,8.8,81,17,10374,23.4,60136,68.8,11.4,130200,52300,2.55,20912,41495,18.8,2553,41848,5,8794,10867,6.4,0,1.9,0,3.1,29.7,3724283,628616,1163827,8474,132143,288,511.37,270.7
12743,12934,-1.5,12934,6.3,22.9,21,52,73.1,23,1.2,0.5,0.1,2,9.1,65.1,84.4,4.3,7.6,82,13.1,1204,23.1,6020,74.2,7.3,69900,4949,2.56,20045,37849,20.6,235,4183,-3.8,797,1102,7.4,3.6,0,0,0,36.9,1140439,138930,70300,5402,8814,1,251.99,51.3
108175,107848,0.3,107848,5.9,20.7,14.5,49.3,88.2,7.2,0.4,2,0,2.2,2.6,85.9,84.4,3.3,5.6,86.6,21.2,7960,19.9,46443,63.9,21.2,91600,39597,2.49,21192,40692,20,2491,45346,-2.5,4768,7034,4.8,0,3.2,0,0.6,23,3565934,584135,1668183,15780,195501,321,403.31,267.4
155830,136875,13.8,136872,8.4,27.6,10.2,49.8,88.9,6.8,1.1,1.6,0.1,1.5,42.4,48.6,81.5,8.7,30,81.8,24.4,8820,18.8,57999,67.7,23.1,148600,50644,2.78,33672,62993,10.4,4977,79755,8.5,14947,16151,2.5,0,3.1,0,16,24,533829,2411656,2276743,18058,259193,1553,900.3,152
198205,177850,11.4,177843,6.8,24.4,12.3,50.2,68.9,25.1,0.7,2.5,0.2,2.7,6.1,63.9,82.9,5.8,7.8,86.7,21.3,20705,25.5,77272,70.3,14.7,150400,65392,2.77,24165,52427,14.4,2722,39368,0.2,11146,12070,13.4,0.3,2.4,0,0,28.3,5527306,1766505,1552266,9497,161164,1977,1098.86,161.8
56014,56666,-1.2,56670,4.6,18.8,20.7,51.1,96.2,0.9,0.3,1.1,0,1.6,1.4,95,87.2,3.4,4,92.7,34,5281,21.8,34146,69.8,24,216300,25024,2.21,30932,52460,10.3,2043,19669,-31,6103,8768,0,0,0,0,0.3,24.5,406465,327739,691702,12147,154409,73,969.34,58.5
114350,93420,22.4,93420,2,7.4,52.9,49.3,89.6,8.3,0.4,0.8,0.1,0.9,5.6,84.6,85.3,5.8,7.4,87.8,25.2,18121,24.6,64510,90.2,2.3,194100,43507,2.04,27504,48493,12,1319,17523,6.5,5521,5207,0,0,0,0,4.5,31.4,367864,0,672106,9244,79933,2570,546.93,170.8
178406,177934,0.3,177934,6.7,24.3,16.1,51.5,84.4,8.8,1.4,1.4,0.1,3.9,11.6,74.8,83,4.6,8.4,90.3,28.6,16162,17.9,79466,64.4,21.6,120300,72584,2.4,26057,48451,16.7,4259,75553,-0.9,9615,12500,2.7,0.8,1.9,0,3,31.4,0,915256,2310142,13295,0,243,544.02,327.1
933572,905117,3.1,905116,5.2,21.7,16,51.6,74.4,6.8,0.4,16.3,0.1,1.9,18.5,58.6,92.4,29.6,38.7,91.3,45.9,37238,30.8,356335,65.6,40.9,451400,335422,2.69,43347,83794,7.2,31524,429410,3,86102,106754,4.6,0.3,13.3,0,8.4,27.1,11973822,66117863,16474977,18602,1848306,3408,233.01,3884.5
11042,11113,-0.6,11113,3.8,16.8,25.5,48.6,75.4,1.6,17.4,0.4,0,5.2,1.6,74.2,87.6,2,4.4,88.3,18.5,1265,19.6,11013,76.8,10,119300,5000,2.17,22622,38704,15.3,449,1995,0.9,916,1202,0,0,0,0,0,21,0,0,155835,14289,56481,27,1021.57,10.9
45478,46562,-2.3,46562,7.1,25.1,18.1,50.6,81.3,2.3,10.4,0.6,0.2,5.3,7.2,75.7,82.3,3.2,5.4,86.4,19.5,3822,16.4,21592,69.9,10.2,75700,18357,2.46,22207,41012,18.2,1129,15048,0,2592,4271,0,0,0,0,0,27.3,0,305106,576407,12543,61454,71,919.73,50.6
8996,9243,-2.7,9243,5.1,21.4,24.6,50.6,97,0.5,1.1,0.3,0.1,1,2,95.2,88.4,0.9,2.6,89.7,14.3,965,21.3,4715,70.7,11.3,77800,3981,2.26,24557,42025,9,233,2086,5.2,646,829,0,0,0,0,0,16.4,0,77612,99152,10868,7234,7,694.07,13.3
129582,115541,12.2,115541,6.8,26.5,12,50.5,84.5,2.9,5,3.3,0.1,4.3,8,77.7,84.8,4.8,8.2,91.5,25.3,9983,23,47130,77.3,10.9,139200,41876,2.8,27552,63629,7,2458,25835,3,9333,9733,0,2.8,2.2,0,2.4,27.2,1192870,0,1110668,10685,102239,265,896.63,128.9
11483,11999,-4.3,12010,4.5,19.7,18.9,56.8,65.6,31.7,0.4,1.1,0.1,1.1,3.5,62.7,90.9,2.2,5.9,77.5,9.6,932,24,5136,68,5.7,87300,4034,2.54,17781,41550,15.7,173,1895,-0.5,671,685,0,0,0,0,0,0,0,21369,84491,8619,13668,17,249.03,48.2
56876,58498,-2.8,58498,5.4,22.4,18.9,50.7,95.6,1.7,0.4,0.5,0,1.6,11.8,84.9,91.5,2.8,6,87.4,16.2,5000,19.7,25773,75.6,13.9,99400,23370,2.44,24525,47667,12,1244,17674,-1.5,2802,4063,0,0,0,0,0,23.7,1022531,926845,570627,9676,60604,19,684.25,85.5
38108,39451,-3.4,39451,6.6,22,16,51.2,97.9,1,0.1,0.2,0,0.7,0.7,97.3,87.3,0.5,0.9,73.6,12.8,2070,24.1,18154,69.2,10.6,70000,15422,2.49,17716,30476,28.9,823,8566,-4,2221,3192,0,0,0,0,0,24.7,0,404434,403311,9596,34911,7,393.35,100.3
33368,32923,1.4,32923,5.3,21.6,17.2,48.1,85.6,11.6,0.6,0.4,0.1,1.8,3.3,82.7,87.8,0.9,1.7,83.4,12.3,3202,27.7,14283,72.5,4.8,81300,12231,2.58,19286,41193,14.2,472,5876,-3.7,1793,2636,0,0,0,0,0,23.8,858460,77002,207424,6511,16843,0,615.2,53.5
66988,67103,-0.2,67103,6.2,22.5,18.7,51.1,93.6,3.7,0.2,0.8,0,1.7,1.4,92.4,87.6,1.5,2.9,89.7,21.3,5862,16.6,29967,72,16.2,104200,26912,2.43,24217,45073,14.4,1833,31182,3.5,3874,5561,0,0.5,1.5,0,0,24.6,0,0,928289,13888,0,83,855.2,78.5
12670,13228,-4.2,13228,5.5,21.4,20.4,51.9,52.1,46.2,0.4,0.1,0,1.2,1.8,51.1,96.9,0.6,2.2,77.3,8.8,1101,27.2,7055,79.1,7.2,69600,4994,2.61,15605,24658,32.7,194,2197,-1.5,756,980,0,0,0,0,0,23,183544,76736,71232,5430,8667,3,850.16,15.6
187319,186494,0.4,186494,7,23.8,15,51.6,74.9,18.1,0.4,3.7,0,2.9,4.6,71.2,83.6,5,7.4,89.9,28.9,12756,19.4,83555,65.5,23.2,123200,75892,2.39,28438,50712,17.2,4567,108908,-1.8,9452,13447,0,0,2.8,0,1.2,29.7,4951288,1609825,2425913,13250,343149,174,619.21,301.2
1397710,1320134,5.9,1320134,5.1,19.5,22.7,51.6,76.1,18.8,0.6,2.7,0.1,1.7,20.7,57.3,85,22.6,28.4,87.5,32.4,99057,24.5,674844,71.2,40.6,199700,526007,2.51,32858,52432,14.5,44234,466399,3.7,151331,163433,8.9,0.5,3.1,0,14.4,27.8,4240652,12017516,19321650,15278,3088613,5066,1969.76,670.2
13466,13453,0.1,13453,4.7,20.3,24.3,51.9,73.2,24.4,0.4,0.5,0,1.5,2.3,71.4,91.2,2.1,3.3,83.7,18.4,1595,29.5,7036,77.2,4.6,170700,5437,2.46,23809,43709,20.2,201,1362,-3,915,936,0,0,0,0,0,22.3,0,32358,69022,5546,5776,26,247.09,54.4
683191,674158,1.3,674158,6.8,24,13.5,51.6,70.4,24,0.6,1.8,0.3,2.9,8.8,62.9,83.1,5.7,8.8,88.3,27.6,48827,22.8,314701,61.1,25.3,126800,271545,2.45,26062,47015,17.4,17072,319751,0.1,42303,54793,10.1,0.7,1.9,0,2.9,27.6,8939022,11179928,8460776,12347,1505780,3864,604.46,1115.3
20540,20689,-0.7,20689,5.8,23.7,18.3,49.1,98.1,0.4,0.3,0.4,0.1,0.8,1.8,96.6,89.9,1.4,5.3,86.4,13.6,1509,20.9,10602,76.9,12.4,126100,8761,2.33,23032,44869,13.9,484,7048,0.4,1396,1971,0,0,0,0,0,22.2,630669,26025,189138,9793,0,28,974.88,21.2
5894,5813,1.4,5813,3.8,24.5,18.1,50.6,77,0.2,20.6,0.5,0.1,1.6,2.2,75.9,91.2,1.6,2.6,91.1,22.9,574,17.5,2858,62.3,6,114200,2228,2.53,21737,40070,21.7,160,761,5.3,365,674,0,0,0,0,0,0,0,38357,44696,8576,3802,4,3972.49,1.5
20353,20087,1.3,20087,6.4,27.6,13.2,50,97.3,0.7,0.3,0.5,0,1.1,4.9,92.8,91,1.6,4.4,92.2,23.6,1517,23.7,8040,85.8,8.4,161100,7326,2.73,29107,69301,7.4,424,4118,4.1,1344,1815,0,0,0,0,0,31.8,0,244797,91773,4727,11799,51,439.28,45.7
15994,16274,-1.7,16274,5.6,22.3,18.3,49,69,29.1,0.3,0.2,0,1.4,1.5,67.7,81.1,0.6,1.5,82.7,13.8,1402,29.9,7748,66.7,6.4,77800,6090,2.54,19188,37388,20.6,244,2699,-0.3,806,903,0,0,0,0,0,0,0,0,114478,7594,7863,23,569.18,28.6
116585,110826,5.2,110826,5.2,19,10.3,50.1,84.3,4.6,2.7,4.6,0.1,3.7,5.8,79.7,71.6,6.5,9.9,95.1,49.6,5957,20.1,48278,52,31.7,180300,43398,2.38,26342,49508,19,2635,36252,-1.7,7712,10251,2.2,1.2,1.8,0,0,31.2,976469,0,1202225,10601,213749,347,455.87,243.1
51789,51980,-0.4,51980,5.3,22.4,19.7,49.4,90.1,1.3,3.2,1.7,0.3,3.4,15.8,76.3,81.3,7.2,12.9,84.3,16.7,6101,30.8,22399,70.3,8.1,133400,19278,2.65,21757,46137,15,771,10812,23.5,2522,3857,1.6,0,0,0,7.6,29.1,573568,0,371385,7100,35040,140,2001.19,26
69447,71871,-3.4,71870,4.7,18.7,21.3,50.7,95.4,0.8,1.9,0.5,0.1,1.3,1.1,94.5,87.6,4.6,18.2,85.1,16.7,7159,17,39470,71.3,17.6,90800,30597,2.26,21566,37855,16.3,2000,21157,1.5,4148,6174,0,0.6,0,0,0,23.3,621636,230832,1105943,15350,71782,66,6671.33,10.8
56953,58098,-2,58098,5.5,22.3,17.7,50.7,63.9,30.5,3.5,0.4,0.1,1.7,4.9,60.3,88.5,3,5.8,79.2,12.2,4042,24,25908,71.5,6.3,84500,21758,2.52,19275,35761,25,1011,11496,-2.3,3246,4584,0,0,0,0,1.8,26.7,887699,234208,527600,9769,41129,35,937.29,62
533116,535141,-0.4,535153,6.2,22.5,16.6,51.9,74,21.1,0.2,2.1,0,2.5,2.6,71.9,81.8,3.7,5.5,88.2,24.6,45106,21.3,254402,62,25.2,112800,222578,2.32,24997,43401,17.7,11473,224561,0.7,31748,37894,10.7,0.3,2.6,0,0.9,29.6,14049197,3766651,6844551,12719,882692,381,461.55,1159.5
3553,3302,7.6,3302,6.2,26.7,14.4,48.8,93.2,1.8,2.1,0.5,0.2,2.3,31.6,64.5,84,12.9,23.7,81.6,21.5,235,19.4,1510,70.9,7.1,89400,1115,2.99,29017,57978,10.9,95,872,-2.8,318,318,0,0,0,0,0,0,0,47171,24490,8169,0,6,932.18,3.5
446094,401972,11,402002,7.9,28.1,8.3,50.2,64.4,21.5,1.1,8.4,0.2,4.4,22,45.7,85.5,21.4,30.2,89.1,38.1,40034,39.2,144787,72.1,16.4,321400,132442,3.11,37401,98071,6.3,7386,94198,3.9,30436,32220,13.9,1.2,9.3,0.1,14.7,28.6,563598,1750552,4948909,13724,537865,1225,336.4,1195
8700,8854,-1.7,8854,6.1,25.3,16.2,50.3,97.6,1,0.2,0.3,0,1,5.4,92.6,84.2,1.6,4.7,88.9,16,638,24.9,3921,74.4,8.4,84300,3444,2.53,23049,48711,11.1,188,1443,2.9,625,0,0,0,0,0,0,0,0,0,50891,5852,2561,2,406.42,21.8
13696,13399,2.2,13399,9.3,31.3,10.9,51.1,33.6,0.2,62.6,0.4,0,3.2,2.7,32.5,83.7,2.1,10.7,83.5,18.4,934,12.4,5327,59.5,15.4,80200,4194,3.1,15604,33519,33.7,248,2341,6.2,687,968,0,26.2,0,0,0,32.5,0,125194,106256,7956,37613,1,2995.94,4.5
49523,49789,-0.5,49793,6.5,23.7,18.4,51.7,81.4,13.5,1.7,0.7,0,2.7,7.5,74.8,81.4,4.2,7.3,83.1,16.5,3800,19.9,22582,65.2,14.4,85300,19416,2.5,21468,40104,19.1,1187,15563,-6.7,3748,5469,0,0,0,0,0,31.5,2411601,0,637577,13019,61073,43,907.19,54.9
12264,12439,-1.4,12439,6.1,23.8,19.4,50,98.3,0.6,0.1,0.3,0,0.7,2.3,96.2,91.6,1.8,4.2,88.8,13.8,1116,21.3,5664,80.1,10,95900,5364,2.27,24139,43971,10.3,418,3942,0.8,954,1078,0,0,0,0,0,16.4,278276,210062,103931,8537,7433,5,504.38,24.7
33093,32727,1.1,32727,5.6,21.9,13.9,49.8,94.3,2.4,0.4,1.5,0,1.4,4.2,90.5,83.5,3.3,6.2,93.4,32.1,1961,16,13196,74,18.9,169800,12192,2.47,26674,60115,10.6,632,11975,2.4,2169,2858,0,0,0,0,0,27.6,872321,194274,164856,5186,25556,98,448.49,73
39149,39996,-2.1,39996,6.2,22.7,17.9,46.2,87.4,8.8,1.4,1,0.1,1.3,25.3,63.6,88.7,12.1,24.3,67.8,10.2,3063,25.3,18223,73.9,5.3,105300,12999,2.86,17787,34570,26.9,738,6486,-1.7,2078,2828,0,0.9,0,0,0,0,0,85257,430587,10758,46949,17,768.91,52
10833,11048,-1.9,11048,5.4,22.8,17.6,49.9,97.6,0.5,0.1,0.7,0,1.1,1,96.7,88.7,1.1,1.6,88.8,13.8,982,23.6,4838,80.8,5,83800,4184,2.59,22952,43958,13.9,178,1657,-5.2,742,626,0,0,0,0,0,0,0,0,22877,2119,3098,0,346.02,31.9
1253001,1145954,9.3,1145956,6.2,22.7,10.8,50.9,69,22.2,0.6,5.6,0.2,2.5,29.2,43.3,79.5,19,33.5,87.2,30.1,66314,26.3,508051,57.4,33,167800,415790,2.76,24877,47581,17,33317,640229,3,110458,113155,10.9,0,6.1,0.1,20.9,29.9,10921814,17080688,19195634,18005,6645089,9246,903.43,1268.5
74098,71491,3.6,71492,9,30.7,10.6,52,18.6,1,76.8,0.9,0.1,2.5,14,9.8,93,2.7,56.7,73,11.2,3162,22.9,25771,72.6,7.4,74900,17427,4.1,12679,30458,35,974,15502,-1.7,4138,5543,0,51.7,0,0,10.8,43.2,0,0,926423,13254,109149,4,5449.81,13.1
6196,6108,1.4,6108,6.4,22.5,18.9,49.5,92.7,0.8,3,0.9,0,2.7,38.3,57.4,87.4,11,34.7,78,23.8,521,19,3930,66.9,5.4,135400,2692,2.29,20726,34600,24.7,117,799,4.6,576,501,0,0,0,0,0,0,0,57075,20857,3039,0,32,3168.53,1.9
64586,65250,-1,65393,4.3,18.7,15.8,49.9,93.7,3,0.4,1.4,0,1.5,3.4,90.9,86.2,2.9,5.9,89.2,24.4,4932,24.6,27315,74.4,17.8,119300,24092,2.44,23978,53518,13.4,1254,13143,0.9,3494,4308,0,0,0,0,0,27.4,463926,219826,586479,9291,70849,62,631.76,103.5
52745,52887,-0.3,52780,6.2,25.4,11.6,50.8,70.5,26.6,0.4,1,0,1.4,5.9,65.6,90.8,3.8,5.9,85.9,19.7,3015,26.9,20277,80.8,11.2,186400,18547,2.81,26756,58758,12.7,943,21116,4.2,3955,4404,24.3,0,0,0,3.2,36.4,27354671,2137737,389164,7492,40093,108,279.08,189.1
59608,52949,12.6,52947,7.6,25.3,12.5,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5,49.5,81.7,2.2,5,80.4,16,5977,23.6,26787,61.3,19.8,104400,21142,2.6,19678,36143,22,783,10489,-1.9,3523,3823,33.9,0,0,0,1,32.4,0,0,428236,8526,56392,244,641.14,82.6
21418,21766,-1.6,21766,5.3,19.4,20.6,45.9,86.1,11.5,0.8,0.4,0,1.3,7.7,79.2,88.5,1.8,6.9,82.8,11.8,1909,32.7,10604,82.6,2.9,75100,8224,2.37,19612,39940,17.4,258,2384,17,1092,1339,0,0,0,0,0,0,0,70499,114973,5665,9783,1,924.5,23.5
57719,57322,0.7,57322,6.1,23.6,17,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,88.7,4.3,7.3,77,12.1,4540,33.9,23826,81,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3563,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,3,644.78,88.9
4067,3978,2.2,3978,3.6,17.3,30.7,50.5,93.6,0.4,1.5,1,0.2,3.2,3.4,90.8,87.2,3.7,4.6,93.1,14.3,422,30.8,2070,75.9,2.9,195600,1715,2.28,22334,41815,22.6,84,456,-3.4,305,253,0,0,0,0,0,0,0,0,11743,2947,1849,11,263.38,15.1
24195,23086,4.8,23086,3.9,22.5,13.9,49.8,95.4,0.8,0.8,1,0.2,1.9,6.4,89.7,88.8,4.1,5.2,96.6,29.6,2328,41.3,9084,90.4,1.3,333600,8240,2.81,36077,82118,6.5,564,2271,9,2629,3269,0,0,0,0,0,26.2,0,13792,80718,3558,6884,116,1850.85,12.5
63265,62500,1.2,62500,5.9,22.2,20.7,50.1,96.4,0.6,0.9,0.5,0,1.5,1.4,95.3,86.4,1.4,2.2,92,22.5,5869,21.5,40892,74.5,10.9,180300,26963,2.3,26527,47058,12.9,2076,26094,2.9,4977,7171,0,0,0,0,0,26,0,278685,1141915,18535,149594,331,999.1,62.6
16059,16138,-0.5,16134,5.2,19.4,24.7,49.5,95,0.6,1.3,0.6,0.1,2.4,3.9,91.6,83.3,1.5,3.9,89.4,20.9,2096,15,8821,67,12.1,147700,7120,2.18,23234,41500,18,521,3896,-0.7,1094,1761,0,0,0,0,0,0,137989,19141,155456,9710,25659,18,3068.36,5.3
31432,30783,2.1,30776,5.3,20.8,13.2,44.7,81.4,15.2,0.7,0.6,0.1,2,3.8,78.2,80.2,2.8,5.1,87.7,17.2,3447,30.4,12838,78.7,4.9,138300,10455,2.61,21797,52691,14.4,413,3101,4.8,1981,2750,0,1.3,0,0,0,0,0,7019,167697,5544,20092,106,606.42,50.8
7694,7827,-1.7,7831,6.3,22.4,22.5,50.3,96.2,2.3,0.3,0.2,0,0.9,1,95.5,91,0.5,0.9,83.2,11.7,646,21.9,4141,76.2,7.4,74700,2958,2.53,19481,39385,16.5,205,1279,-2.4,623,703,0,0,0,0,0,29.6,0,198004,51816,6682,2043,0,751.18,10.4
13157,13308,-1.1,13308,5,21,20.5,51.4,87.2,9.5,0.3,0.6,0,2.4,2.1,85.3,88.2,3,2.1,79.8,21.8,1356,32.8,6006,80.3,2,240900,5024,2.6,27296,53459,13.3,273,2640,-3.7,1085,1514,0,0,0,0,0,21.5,0,8746,112941,8245,10056,31,320.68,41.5
2660,2477,7.4,2477,6.4,22.7,22.9,51.5,94.5,0.6,2.9,0.2,0.1,1.7,2.3,92.6,86.5,0.3,4.3,87.2,17.3,241,17.2,1429,83.1,9.3,74400,1097,2.2,27910,47743,10.7,97,465,4.7,208,380,0,0,0,0,0,0,0,0,46886,19577,1246,3,1132.22,2.2
50969,48376,5.4,48376,8.6,27,11.5,48.1,86.1,7,2.1,1.7,0.2,2.9,39.7,50.3,79.2,8.2,24.6,81.5,20.4,5584,15,20788,59.7,14.1,119600,18027,2.67,21259,39871,18.9,1049,12586,-2.8,1913,2745,1.8,0,0,0,0,26.4,0,171522,591302,13109,68312,141,1404.8,34.4
956406,947736,0.9,947735,7.2,24.4,12.1,51.7,65.3,27.2,0.9,3.9,0,2.6,14.2,53,81.6,8.7,16.1,85.9,28.1,53064,22,417082,51.3,47.3,158400,379637,2.45,24295,43193,21.6,19389,443721,-1.2,47132,58182,13.2,1,3.2,0,3.2,33,19065361,10955307,10207295,10720,1570614,795,241.4,3926
65960,65364,0.9,65359,5.4,21.4,15.3,46.6,93.5,4.5,0.4,0.4,0.1,1.1,1.4,92.3,79.2,0.8,2,79.5,14.3,6026,25.5,29354,68.7,14.1,98900,24654,2.34,18544,37238,19.4,1475,17599,0.5,3079,4978,0,0,0,0,0,26.9,341767,0,685764,10930,0,130,451.89,144.6
39745,39241,1.3,39238,5.5,20.3,17.2,51,96.5,1.8,0.1,0.6,0.1,0.9,1.4,95.2,83.7,1.5,5.5,86.2,17,3329,23.3,18993,71.7,16.9,110900,15067,2.45,21875,42184,16.1,759,10950,-2.3,1859,2479,0,0,0,0,0,24.6,1214979,0,520692,14025,43233,38,887.98,44.2
74250,73939,0.4,73955,9.8,27.7,11.1,47.3,73,21.1,0.7,1.6,0.4,3.1,7.6,66.8,77.1,3.2,6.6,85.2,15.1,6986,18.1,29746,52.5,21.1,101700,25899,2.65,19773,38904,20.5,1315,23451,1.2,3230,4321,7.2,0,3.7,0,2.2,27.4,1571636,878401,936093,11565,80082,59,717.5,103.1
35348,36745,-3.8,36743,5.9,20.7,17.2,50.4,96.7,2,0.1,0.3,0,0.9,0.9,95.9,88.1,0.3,1.2,76.4,9.2,2908,25.8,16710,73.8,6.9,77600,14699,2.43,19901,36999,19.8,658,10322,-1.8,1224,1987,1.6,0,0,0,0,34.5,124916,155660,494714,13941,39628,1,453.74,81
25965,27253,-4.7,27253,4.9,20,16.3,45.6,56.2,41.6,0.3,0.7,0,1.1,1.6,55.1,91.3,1,3.4,74.9,9.8,1791,29.3,10853,70.2,6.3,86300,8690,2.69,14975,30973,24.6,367,5316,5,1465,1408,0,0,0,0,0,26.8,423749,42125,158797,5711,15636,23,667.77,40.8
314638,285465,10.2,285465,6.3,28.3,9.9,50.3,91.3,1.4,0.5,4.3,0.1,2.4,8.3,83.9,85.4,6.4,8.8,97.5,55.8,19635,27.7,113777,80.9,15.8,335600,103780,2.82,43634,101591,3.9,8040,91934,5.2,28689,32992,0,0,2.4,0,3.1,27.7,1950842,0,3765450,13846,435099,3230,840.25,339.7
65301,64524,1.2,64524,7.2,23.5,13.1,52.3,77.3,18.3,0.9,1.7,0.1,1.7,18.5,60.3,77.3,9.2,16.2,80.5,24.3,3412,18.7,27960,58.1,20.1,101700,23586,2.52,20362,36777,25.7,1301,17763,2.9,3830,4826,8.1,0,0,0,3.4,19.1,1418896,0,691236,11048,87801,68,946.54,68.2
32337,33140,-2.4,33140,6.3,23,16.7,51.5,60.5,37,0.5,0.5,0,1.5,1.8,59,92.3,1,1.2,78,12.4,2641,31,14603,75.6,6.8,82500,12368,2.63,18098,33103,24.5,527,6709,4.4,1545,1724,0,0,0,0,0,23,1407542,0,210872,6460,25201,26,580.66,57.1
