year,age,degree,finrela,happy,health,marital,sex,polviews,partyid,wtssall,nhappy
2018,50,high school,NA,pretty happy,good,NA,female,moderate,NA,14,2
2018,65,high school,below average,pretty happy,NA,divorced,female,slightly liberal,strong democrat,14,2
2018,52,high school,average,pretty happy,good,never married,male,moderate,not str democrat,61,2
2018,62,high school,below average,very happy,NA,widowed,female,moderate,strong democrat,14,1
2018,60,graduate,above average,pretty happy,excellent,married,male,moderate,strong democrat,61,2
2018,62,bachelor,average,pretty happy,excellent,divorced,female,liberal,"ind,near dem",199,2
2018,46,high school,average,not too happy,NA,widowed,female,slghtly conservative,not str democrat,14,3
2018,40,graduate,average,pretty happy,NA,married,male,slightly liberal,not str democrat,61,2
2018,53,graduate,far below average,pretty happy,NA,married,female,slightly liberal,not str democrat,110,2
2018,75,bachelor,above average,pretty happy,NA,divorced,male,conservative,not str republican,14,2
2018,67,bachelor,above average,pretty happy,good,divorced,female,moderate,"ind,near dem",61,2
2018,22,high school,average,pretty happy,excellent,never married,male,NA,independent,154,2
2018,42,high school,far below average,not too happy,good,separated,female,moderate,not str democrat,61,3
2018,59,graduate,above average,pretty happy,NA,divorced,female,moderate,independent,14,2
2018,33,graduate,average,very happy,good,married,female,moderate,independent,61,1
2018,46,bachelor,average,pretty happy,NA,married,male,slightly liberal,independent,61,2
2018,55,bachelor,above average,pretty happy,fair,divorced,male,moderate,not str republican,61,2
2018,43,bachelor,below average,pretty happy,NA,married,female,moderate,independent,61,2
2018,45,high school,far below average,not too happy,good,never married,female,NA,"ind,near dem",61,3
2018,23,lt high school,below average,pretty happy,fair,never married,male,conservative,not str democrat,154,2
2018,28,high school,far above average,not too happy,NA,separated,female,moderate,not str democrat,14,3
2018,27,high school,below average,pretty happy,fair,married,female,liberal,strong democrat,61,2
2018,42,lt high school,far below average,not too happy,NA,married,female,extremely liberal,strong democrat,61,3
2018,41,bachelor,average,pretty happy,good,never married,female,moderate,strong democrat,14,2
2018,64,high school,below average,pretty happy,excellent,widowed,female,moderate,strong democrat,95,2
2018,53,lt high school,average,pretty happy,NA,never married,male,moderate,"ind,near rep",14,2
2018,79,graduate,below average,not too happy,excellent,divorced,male,liberal,"ind,near dem",14,3
2018,34,high school,average,pretty happy,fair,married,male,conservative,not str democrat,14,2
2018,59,high school,average,very happy,good,separated,female,moderate,strong democrat,61,1
2018,32,graduate,above average,pretty happy,excellent,never married,female,slightly liberal,strong democrat,95,2
2018,33,bachelor,below average,very happy,NA,married,female,extremely liberal,not str democrat,199,1
2018,35,high school,far below average,pretty happy,NA,never married,male,moderate,strong democrat,95,2
2018,37,junior college,average,pretty happy,NA,married,male,liberal,strong democrat,61,2
2018,28,bachelor,average,very happy,good,married,female,slightly liberal,independent,61,1
2018,42,graduate,above average,pretty happy,good,married,female,liberal,not str democrat,95,2
2018,21,high school,average,pretty happy,fair,never married,male,liberal,other party,110,2
2018,33,junior college,average,very happy,excellent,never married,female,conservative,independent,198,1
2018,37,bachelor,average,very happy,excellent,married,female,moderate,independent,61,1
2018,89,lt high school,average,pretty happy,NA,widowed,female,moderate,independent,110,2
2018,47,junior college,average,pretty happy,good,married,female,moderate,independent,61,2
2018,63,lt high school,NA,very happy,NA,married,female,NA,NA,61,1
2018,71,bachelor,above average,pretty happy,good,married,female,liberal,"ind,near dem",61,2
2018,42,high school,average,pretty happy,good,married,female,NA,not str democrat,61,2
2018,37,high school,below average,very happy,NA,divorced,female,moderate,not str democrat,61,1
2018,40,high school,below average,very happy,excellent,married,female,extrmly conservative,not str democrat,110,1
2018,70,high school,average,pretty happy,good,separated,male,conservative,not str republican,61,2
2018,28,bachelor,above average,pretty happy,NA,never married,male,slightly liberal,not str democrat,61,2
2018,53,high school,below average,pretty happy,NA,never married,female,liberal,strong democrat,61,2
2018,46,high school,above average,pretty happy,good,married,male,extremely liberal,strong democrat,199,2
2018,55,graduate,above average,pretty happy,NA,married,male,liberal,strong democrat,61,2
2018,28,graduate,below average,pretty happy,NA,never married,male,moderate,not str democrat,95,2
2018,42,graduate,above average,pretty happy,NA,never married,male,moderate,"ind,near dem",95,2
2018,77,graduate,above average,not too happy,excellent,married,female,extremely liberal,strong democrat,14,3
2018,29,graduate,above average,very happy,NA,never married,male,slightly liberal,independent,61,1
2018,62,lt high school,far below average,not too happy,NA,widowed,female,liberal,"ind,near dem",110,3
2018,30,bachelor,average,pretty happy,fair,never married,female,liberal,"ind,near dem",14,2
2018,22,high school,above average,pretty happy,fair,never married,male,liberal,not str democrat,110,2
2018,69,high school,above average,pretty happy,good,married,female,liberal,strong democrat,61,2
2018,45,bachelor,average,very happy,good,separated,male,slghtly conservative,strong democrat,14,1
2018,32,high school,average,pretty happy,excellent,married,female,moderate,not str democrat,110,2
2018,60,lt high school,far below average,very happy,good,widowed,female,moderate,"ind,near rep",14,1
2018,48,lt high school,far below average,not too happy,fair,divorced,male,conservative,"ind,near rep",14,3
2018,81,high school,below average,not too happy,poor,divorced,female,liberal,not str democrat,14,3
2018,50,graduate,above average,pretty happy,excellent,married,male,liberal,"ind,near dem",61,2
2018,78,high school,above average,very happy,fair,married,female,slghtly conservative,"ind,near rep",61,1
2018,56,graduate,average,pretty happy,NA,never married,male,extremely liberal,strong democrat,14,2
2018,60,high school,above average,pretty happy,good,never married,male,slghtly conservative,"ind,near rep",14,2
2018,23,high school,above average,pretty happy,NA,never married,male,moderate,not str republican,154,2
2018,67,high school,below average,pretty happy,NA,never married,female,NA,independent,14,2
2018,54,bachelor,average,very happy,good,married,female,NA,independent,61,1
2018,62,junior college,above average,not too happy,NA,married,female,slightly liberal,independent,61,3
2018,55,junior college,average,very happy,good,divorced,female,moderate,strong democrat,14,1
2018,56,high school,average,very happy,NA,married,female,conservative,not str democrat,61,1
2018,58,junior college,above average,pretty happy,NA,never married,male,extremely liberal,strong democrat,61,2
2018,74,high school,far below average,not too happy,NA,divorced,female,NA,not str democrat,14,3
2018,70,bachelor,far below average,pretty happy,NA,married,male,slightly liberal,not str democrat,61,2
2018,35,bachelor,above average,very happy,good,married,male,slghtly conservative,other party,199,1
2018,65,lt high school,above average,pretty happy,NA,married,male,moderate,not str democrat,199,2
2018,42,junior college,below average,pretty happy,fair,married,female,moderate,independent,199,2
2018,48,high school,below average,very happy,excellent,married,female,slghtly conservative,not str republican,61,1
2018,32,high school,average,pretty happy,good,never married,male,moderate,"ind,near rep",61,2
2018,56,high school,above average,pretty happy,good,married,female,conservative,"ind,near rep",199,2
2018,61,high school,below average,pretty happy,good,married,female,extrmly conservative,independent,61,2
2018,76,bachelor,average,pretty happy,good,widowed,female,extremely liberal,strong democrat,14,2
2018,59,bachelor,average,pretty happy,good,married,female,slghtly conservative,"ind,near dem",61,2
2018,69,bachelor,average,pretty happy,good,never married,male,liberal,strong democrat,14,2
2018,48,graduate,above average,pretty happy,NA,never married,male,slightly liberal,not str democrat,14,2
2018,68,graduate,average,pretty happy,good,married,female,conservative,strong republican,110,2
2018,39,bachelor,average,very happy,excellent,never married,female,slightly liberal,not str democrat,61,1
2018,38,graduate,average,pretty happy,good,married,male,moderate,not str democrat,61,2
2018,39,graduate,above average,very happy,good,never married,female,liberal,strong democrat,61,1
2018,52,high school,far below average,very happy,NA,married,female,moderate,independent,61,1
2018,41,graduate,above average,very happy,excellent,married,female,extremely liberal,not str democrat,61,1
2018,60,bachelor,above average,pretty happy,NA,married,male,liberal,strong democrat,14,2
2018,69,high school,above average,pretty happy,fair,married,male,liberal,strong democrat,61,2
2018,60,high school,average,pretty happy,NA,married,male,liberal,strong democrat,61,2
2018,22,high school,average,pretty happy,NA,never married,female,slightly liberal,independent,154,2
2018,33,high school,average,pretty happy,fair,never married,male,moderate,independent,61,2
2018,35,bachelor,average,not too happy,excellent,married,female,slghtly conservative,independent,61,3
2018,38,lt high school,average,very happy,NA,married,female,moderate,"ind,near dem",61,1
2018,25,high school,average,pretty happy,good,never married,female,moderate,"ind,near rep",61,2
2018,55,junior college,below average,not too happy,good,divorced,male,conservative,strong republican,14,3
2018,34,high school,average,pretty happy,NA,married,male,liberal,not str democrat,61,2
2018,49,lt high school,below average,not too happy,fair,divorced,male,NA,independent,61,3
2018,18,high school,above average,pretty happy,NA,never married,male,moderate,independent,154,2
2018,56,high school,average,pretty happy,NA,divorced,male,slightly liberal,strong democrat,14,2
2018,19,high school,average,pretty happy,fair,never married,male,conservative,"ind,near rep",14,2
2018,34,high school,below average,not too happy,NA,never married,male,moderate,not str democrat,110,3
2018,26,bachelor,below average,pretty happy,NA,never married,female,NA,independent,14,2
2018,28,high school,above average,pretty happy,good,never married,male,moderate,independent,199,2
2018,59,graduate,above average,very happy,NA,separated,female,liberal,strong democrat,61,1
2018,39,graduate,average,pretty happy,good,never married,female,moderate,"ind,near dem",110,2
2018,77,high school,average,pretty happy,good,separated,female,conservative,strong democrat,14,2
2018,35,high school,below average,not too happy,NA,never married,female,slghtly conservative,independent,14,3
2018,46,bachelor,below average,pretty happy,fair,separated,female,moderate,independent,14,2
2018,57,lt high school,above average,very happy,NA,never married,male,moderate,not str republican,61,1
2018,35,lt high school,below average,pretty happy,good,married,female,moderate,not str democrat,61,2
2018,58,high school,below average,not too happy,fair,separated,female,slghtly conservative,not str republican,61,3
2018,20,high school,below average,pretty happy,fair,never married,female,moderate,other party,154,2
2018,48,lt high school,below average,very happy,NA,married,female,moderate,"ind,near dem",110,1
2018,51,lt high school,below average,pretty happy,fair,separated,female,moderate,independent,110,2
2018,18,lt high school,average,not too happy,excellent,never married,female,liberal,strong democrat,110,3
2018,18,high school,average,pretty happy,NA,never married,female,liberal,not str democrat,154,2
2018,41,high school,below average,pretty happy,good,married,female,moderate,not str democrat,61,2
2018,51,high school,average,not too happy,fair,married,female,moderate,not str democrat,154,3
2018,41,lt high school,far above average,pretty happy,good,married,female,moderate,independent,61,2
2018,71,high school,average,pretty happy,NA,never married,female,liberal,"ind,near dem",14,2
2018,43,lt high school,average,very happy,fair,never married,male,moderate,not str democrat,110,1
2018,53,bachelor,average,pretty happy,good,never married,male,liberal,independent,110,2
2018,46,junior college,average,not too happy,poor,never married,male,slightly liberal,not str democrat,14,3
2018,36,high school,average,pretty happy,good,married,male,slightly liberal,strong democrat,61,2
2018,19,high school,below average,pretty happy,fair,never married,male,slghtly conservative,"ind,near rep",61,2
2018,65,high school,far below average,very happy,NA,married,male,liberal,"ind,near dem",61,1
2018,60,high school,below average,not too happy,good,divorced,female,moderate,strong republican,14,3
2018,63,bachelor,average,pretty happy,NA,never married,female,conservative,strong democrat,95,2
2018,36,graduate,far below average,very happy,excellent,married,male,liberal,strong democrat,61,1
2018,40,bachelor,average,pretty happy,NA,married,female,conservative,independent,61,2
2018,42,graduate,above average,very happy,good,married,female,extremely liberal,strong democrat,61,1
2018,61,high school,above average,pretty happy,good,separated,male,NA,"ind,near rep",14,2
2018,27,bachelor,above average,very happy,NA,never married,male,slightly liberal,not str democrat,14,1
2018,52,high school,below average,very happy,good,never married,male,moderate,independent,14,1
2018,36,high school,below average,NA,NA,never married,female,NA,independent,14,NA
2018,74,high school,below average,pretty happy,NA,divorced,female,liberal,"ind,near dem",14,2
2018,36,graduate,average,pretty happy,fair,never married,male,liberal,strong democrat,61,2
2018,34,graduate,above average,pretty happy,NA,never married,male,moderate,strong democrat,14,2
2018,46,bachelor,above average,not too happy,excellent,divorced,male,moderate,"ind,near dem",14,3
2018,21,high school,below average,very happy,excellent,never married,female,liberal,strong democrat,154,1
2018,72,lt high school,average,pretty happy,NA,divorced,female,moderate,"ind,near dem",61,2
2018,46,bachelor,average,pretty happy,poor,married,male,slightly liberal,not str democrat,61,2
2018,21,high school,NA,pretty happy,good,never married,female,moderate,NA,154,2
2018,46,high school,average,not too happy,NA,never married,male,conservative,"ind,near rep",61,3
2018,53,high school,above average,very happy,good,divorced,male,moderate,strong republican,61,1
2018,74,graduate,below average,not too happy,good,widowed,female,conservative,not str republican,61,3
2018,70,lt high school,below average,pretty happy,NA,divorced,male,moderate,"ind,near dem",110,2
2018,36,bachelor,above average,pretty happy,poor,married,female,moderate,"ind,near rep",61,2
2018,57,lt high school,far below average,pretty happy,NA,married,male,extrmly conservative,strong republican,14,2
2018,60,bachelor,above average,not too happy,good,never married,male,conservative,"ind,near rep",14,3
2018,53,lt high school,below average,pretty happy,NA,divorced,female,extrmly conservative,strong republican,154,2
2018,69,high school,average,pretty happy,fair,married,male,slightly liberal,not str democrat,61,2
2018,38,bachelor,average,very happy,excellent,married,female,moderate,not str democrat,110,1
2018,48,high school,above average,pretty happy,good,married,female,conservative,not str republican,110,2
2018,30,bachelor,above average,pretty happy,fair,never married,male,moderate,"ind,near rep",199,2
2018,29,high school,far below average,very happy,excellent,never married,male,moderate,not str democrat,61,1
2018,68,bachelor,above average,very happy,good,married,female,liberal,strong democrat,61,1
2018,64,high school,average,pretty happy,fair,married,female,moderate,"ind,near dem",61,2
2018,43,graduate,average,very happy,good,married,male,liberal,independent,61,1
2018,69,high school,below average,not too happy,NA,widowed,female,moderate,other party,14,3
2018,47,high school,average,pretty happy,fair,married,male,conservative,"ind,near rep",61,2
2018,57,high school,above average,pretty happy,NA,married,male,extrmly conservative,other party,61,2
2018,50,graduate,above average,not too happy,good,married,male,liberal,not str democrat,61,3
2018,25,high school,average,pretty happy,NA,never married,female,moderate,independent,61,2
2018,75,high school,below average,very happy,excellent,divorced,male,extremely liberal,strong democrat,14,1
2018,46,high school,above average,very happy,NA,married,male,conservative,strong republican,61,1
2018,77,lt high school,average,not too happy,poor,divorced,female,moderate,"ind,near dem",14,3
2018,18,lt high school,average,pretty happy,NA,never married,female,moderate,strong democrat,154,2
2018,62,high school,below average,pretty happy,excellent,married,female,conservative,strong republican,61,2
2018,30,junior college,average,pretty happy,good,married,female,moderate,not str democrat,110,2
2018,70,lt high school,NA,not too happy,poor,widowed,female,NA,strong democrat,61,3
2018,50,lt high school,average,not too happy,NA,married,male,slightly liberal,independent,154,3
2018,44,high school,average,pretty happy,good,separated,female,conservative,"ind,near dem",61,2
2018,33,high school,average,very happy,good,married,female,liberal,independent,61,1
2018,34,graduate,above average,pretty happy,good,married,female,conservative,strong republican,61,2
2018,46,bachelor,average,pretty happy,fair,married,female,extremely liberal,strong democrat,61,2
2018,51,high school,average,very happy,excellent,married,male,moderate,not str democrat,199,1
2018,28,high school,below average,not too happy,fair,never married,male,conservative,strong democrat,110,3
2018,74,bachelor,average,very happy,excellent,divorced,male,moderate,"ind,near dem",14,1
2018,29,high school,average,pretty happy,NA,never married,female,moderate,independent,61,2
2018,49,lt high school,below average,very happy,good,married,male,liberal,"ind,near dem",154,1
2018,28,bachelor,average,pretty happy,fair,never married,female,slightly liberal,"ind,near dem",61,2
2018,48,high school,below average,not too happy,NA,separated,female,slghtly conservative,"ind,near rep",61,3
2018,24,high school,average,very happy,NA,never married,female,moderate,"ind,near dem",61,1
2018,51,high school,average,very happy,excellent,divorced,female,moderate,"ind,near rep",14,1
2018,42,bachelor,above average,pretty happy,NA,divorced,female,conservative,strong republican,14,2
2018,44,bachelor,average,very happy,good,married,male,moderate,independent,199,1
2018,33,high school,below average,very happy,good,married,female,extremely liberal,"ind,near rep",61,1
2018,29,high school,average,pretty happy,fair,married,male,slghtly conservative,not str republican,110,2
2018,48,bachelor,far above average,pretty happy,NA,married,female,liberal,"ind,near dem",61,2
2018,62,lt high school,above average,very happy,good,widowed,female,moderate,strong republican,61,1
2018,88,high school,below average,not too happy,good,widowed,female,conservative,strong republican,14,3
2018,65,graduate,above average,pretty happy,NA,married,male,slghtly conservative,"ind,near rep",110,2
2018,28,high school,average,pretty happy,excellent,married,female,slightly liberal,independent,154,2
2018,58,junior college,above average,very happy,good,married,female,moderate,not str republican,199,1
2018,26,high school,above average,pretty happy,good,never married,male,moderate,independent,61,2
2018,61,high school,below average,pretty happy,NA,married,female,extrmly conservative,strong republican,14,2
2018,30,high school,average,pretty happy,good,married,female,slightly liberal,independent,61,2
2018,22,high school,far below average,not too happy,NA,never married,female,liberal,strong democrat,14,3
2018,24,high school,below average,pretty happy,good,never married,female,moderate,strong democrat,61,2
2018,29,high school,below average,very happy,good,never married,male,moderate,independent,61,1
2018,70,high school,average,pretty happy,poor,widowed,male,moderate,"ind,near rep",14,2
2018,34,graduate,above average,pretty happy,good,never married,male,moderate,"ind,near rep",14,2
2018,66,high school,average,very happy,good,married,male,slghtly conservative,"ind,near rep",61,1
2018,84,high school,below average,pretty happy,good,divorced,female,slghtly conservative,"ind,near rep",14,2
2018,37,bachelor,above average,very happy,NA,married,male,slightly liberal,"ind,near dem",199,1
2018,61,junior college,far below average,not too happy,NA,divorced,female,liberal,independent,61,3
2018,58,high school,average,pretty happy,NA,never married,female,conservative,strong democrat,14,2
2018,88,lt high school,below average,pretty happy,fair,divorced,male,slightly liberal,not str democrat,14,2
2018,80,lt high school,below average,pretty happy,excellent,separated,female,extremely liberal,independent,270,2
2018,36,high school,below average,pretty happy,fair,never married,male,moderate,"ind,near rep",154,2
2018,33,bachelor,below average,pretty happy,good,never married,female,liberal,strong democrat,154,2
2018,81,bachelor,average,pretty happy,good,widowed,male,moderate,"ind,near rep",61,2
2018,31,high school,above average,pretty happy,NA,married,male,slghtly conservative,not str democrat,154,2
2018,69,bachelor,above average,very happy,excellent,married,female,liberal,strong democrat,61,1
2018,26,bachelor,above average,pretty happy,excellent,never married,male,liberal,strong democrat,110,2
2018,45,bachelor,above average,very happy,NA,married,male,moderate,other party,61,1
2018,54,bachelor,below average,pretty happy,NA,married,female,conservative,independent,61,2
2018,61,bachelor,above average,pretty happy,good,married,female,slghtly conservative,"ind,near rep",110,2
2018,19,high school,average,pretty happy,NA,never married,male,liberal,not str democrat,154,2
2018,58,bachelor,above average,pretty happy,good,separated,male,liberal,"ind,near dem",61,2
2018,50,junior college,above average,pretty happy,NA,divorced,female,moderate,"ind,near dem",61,2
2018,36,bachelor,average,pretty happy,good,never married,male,slightly liberal,strong democrat,61,2
2018,27,high school,below average,pretty happy,fair,never married,female,liberal,not str democrat,110,2
2018,51,high school,average,pretty happy,good,never married,male,moderate,"ind,near dem",14,2
2018,48,bachelor,below average,pretty happy,excellent,married,male,slghtly conservative,not str democrat,277,2
2018,29,high school,below average,not too happy,good,never married,female,slightly liberal,not str democrat,110,3
2018,65,graduate,average,very happy,good,divorced,female,extremely liberal,strong democrat,61,1
2018,67,bachelor,average,pretty happy,good,never married,female,liberal,strong democrat,14,2
2018,53,bachelor,above average,pretty happy,NA,married,male,slightly liberal,not str democrat,61,2
2018,45,graduate,far below average,very happy,good,married,male,liberal,strong democrat,61,1
2018,36,high school,below average,pretty happy,excellent,divorced,female,liberal,not str democrat,14,2
2018,60,high school,above average,very happy,excellent,married,male,extrmly conservative,other party,61,1
2018,63,bachelor,average,very happy,NA,married,female,moderate,not str democrat,110,1
2018,52,high school,average,pretty happy,excellent,divorced,female,moderate,not str republican,14,2
2018,34,high school,above average,very happy,good,married,male,liberal,"ind,near dem",61,1
2018,58,high school,average,pretty happy,NA,married,male,slghtly conservative,not str republican,61,2
2018,63,high school,average,pretty happy,good,married,male,slghtly conservative,not str republican,61,2
2018,71,bachelor,above average,very happy,good,divorced,female,liberal,not str democrat,61,1
2018,67,high school,average,pretty happy,NA,married,female,moderate,not str democrat,110,2
2018,65,bachelor,above average,pretty happy,good,divorced,female,moderate,not str republican,14,2
2018,39,high school,average,pretty happy,good,never married,female,slightly liberal,not str republican,199,2
2018,46,high school,average,very happy,NA,separated,female,moderate,independent,14,1
2018,83,high school,below average,pretty happy,fair,widowed,female,slightly liberal,strong democrat,95,2
2018,59,bachelor,above average,very happy,excellent,divorced,male,extrmly conservative,not str republican,61,1
2018,63,graduate,above average,very happy,good,married,female,moderate,NA,61,1
2018,38,high school,average,pretty happy,NA,never married,female,moderate,not str democrat,14,2
2018,50,high school,below average,pretty happy,fair,divorced,male,slghtly conservative,not str republican,61,2
2018,18,high school,below average,pretty happy,good,never married,female,NA,independent,61,2
2018,45,bachelor,above average,pretty happy,good,married,female,liberal,"ind,near dem",110,2
2018,18,lt high school,average,pretty happy,NA,never married,female,slghtly conservative,not str republican,61,2
2018,39,graduate,above average,pretty happy,good,never married,male,slightly liberal,strong democrat,61,2
2018,31,graduate,average,pretty happy,excellent,never married,female,moderate,not str democrat,14,2
2018,44,bachelor,average,pretty happy,excellent,never married,female,moderate,independent,14,2
2018,46,bachelor,average,very happy,NA,married,female,slightly liberal,strong democrat,61,1
2018,56,high school,above average,pretty happy,excellent,married,female,extrmly conservative,strong republican,61,2
2018,37,high school,above average,very happy,good,married,male,moderate,not str democrat,61,1
2018,52,graduate,above average,very happy,NA,divorced,female,liberal,"ind,near dem",14,1
2018,69,high school,average,pretty happy,good,married,male,moderate,"ind,near rep",61,2
2018,34,high school,average,very happy,fair,separated,male,liberal,independent,61,1
2018,25,bachelor,below average,pretty happy,good,never married,male,conservative,"ind,near rep",154,2
2018,33,lt high school,average,very happy,good,never married,male,moderate,independent,110,1
2018,45,high school,below average,pretty happy,NA,divorced,female,moderate,not str republican,95,2
2018,57,bachelor,above average,very happy,excellent,married,male,slightly liberal,"ind,near rep",306,1
2018,77,high school,above average,pretty happy,good,divorced,male,slghtly conservative,other party,14,2
2018,29,bachelor,above average,pretty happy,fair,never married,male,moderate,"ind,near dem",14,2
2018,58,graduate,above average,very happy,excellent,widowed,male,extremely liberal,strong democrat,61,1
2018,42,graduate,above average,very happy,good,married,male,slightly liberal,"ind,near dem",61,1
2018,65,high school,above average,not too happy,excellent,divorced,male,moderate,not str democrat,14,3
2018,25,bachelor,average,not too happy,fair,never married,female,slghtly conservative,"ind,near rep",61,3
2018,76,graduate,above average,very happy,excellent,married,male,conservative,"ind,near rep",61,1
2018,73,high school,average,not too happy,NA,widowed,female,slghtly conservative,not str democrat,61,3
2018,34,graduate,average,pretty happy,NA,married,female,conservative,not str republican,61,2
2018,51,high school,average,very happy,excellent,married,male,conservative,strong democrat,61,1
2018,78,high school,below average,pretty happy,fair,married,female,conservative,strong republican,61,2
2018,53,high school,average,very happy,good,married,male,liberal,"ind,near dem",110,1
2018,83,lt high school,above average,very happy,good,married,male,NA,not str democrat,61,1
2018,58,lt high school,average,pretty happy,fair,never married,female,conservative,not str democrat,154,2
2018,73,lt high school,average,pretty happy,NA,widowed,male,moderate,strong republican,110,2
2018,83,high school,below average,not too happy,NA,widowed,female,extrmly conservative,not str republican,14,3
2018,86,high school,below average,not too happy,poor,separated,male,moderate,"ind,near dem",14,3
2018,70,high school,below average,pretty happy,fair,widowed,female,moderate,strong democrat,14,2
2018,31,bachelor,average,pretty happy,NA,never married,female,liberal,not str democrat,199,2
2018,24,bachelor,average,very happy,excellent,never married,female,slightly liberal,not str democrat,199,1
2018,42,junior college,average,pretty happy,NA,never married,male,liberal,strong democrat,61,2
2018,34,graduate,above average,pretty happy,good,married,female,liberal,not str democrat,61,2
2018,70,graduate,average,pretty happy,NA,divorced,female,moderate,independent,14,2
2018,37,high school,below average,pretty happy,NA,never married,female,extremely liberal,"ind,near rep",61,2
2018,70,graduate,average,very happy,excellent,married,male,extrmly conservative,strong republican,61,1
2018,71,high school,average,pretty happy,good,married,male,moderate,not str republican,61,2
2018,26,graduate,above average,pretty happy,NA,never married,female,slghtly conservative,not str republican,14,2
2018,54,graduate,far above average,very happy,excellent,married,male,slightly liberal,strong democrat,61,1
2018,40,bachelor,above average,pretty happy,good,married,female,slightly liberal,"ind,near dem",199,2
2018,56,bachelor,above average,very happy,NA,divorced,female,conservative,"ind,near rep",14,1
2018,60,graduate,below average,pretty happy,fair,widowed,male,conservative,not str republican,14,2
2018,72,bachelor,above average,pretty happy,good,married,male,NA,other party,61,2
2018,35,bachelor,above average,very happy,excellent,married,female,slghtly conservative,independent,61,1
2018,55,graduate,far above average,very happy,NA,married,male,conservative,strong republican,110,1
2018,28,junior college,above average,very happy,excellent,married,female,liberal,strong democrat,61,1
2018,77,high school,far below average,pretty happy,good,divorced,female,moderate,strong democrat,95,2
2018,30,high school,average,pretty happy,NA,never married,female,moderate,strong democrat,61,2
2018,67,high school,below average,pretty happy,poor,widowed,female,moderate,"ind,near dem",14,2
2018,53,high school,below average,not too happy,fair,never married,female,moderate,not str democrat,14,3
2018,37,high school,below average,pretty happy,fair,married,female,slghtly conservative,not str democrat,61,2
2018,51,graduate,above average,very happy,NA,married,female,moderate,"ind,near dem",61,1
2018,35,high school,average,pretty happy,good,married,female,moderate,independent,14,2
2018,60,graduate,above average,pretty happy,good,married,female,moderate,"ind,near rep",199,2
2018,68,graduate,above average,pretty happy,fair,married,male,moderate,not str democrat,61,2
