country,code,ag_land,ag_value,emissions,exports,fertility,mobile,foreign_invest,gdp,gdp_growth,gni_pc,gni_atlas,gcf,measles,imports,industry,inflation,internet,life,short_debt,imf_credit,merch,military,barter,devel_assist,fixed_phones,pop_growth,pop_density,pop,services,area
Comoros,COM,70.39226222461042,35.62009798787814,0.37607636330322336,12.773460632522607,4.138,67.60224049,-4300803.96632158,1195019559.0938125,1.7607858171940762,1380,1176390923.9155004,12.734806261627254,90,29.49461790249578,8.531000615042453,4.209100255925364,NA,64.321,0.7137,30741595.5,25.438914173967518,NA,73.22610019,72830001.8310547,1.180181599,2.20646505841421,457.2224610424503,850891,51.8874948349763,1861
"Congo, Dem. Rep.",COD,14.878366158664344,19.434988706687985,0.03698558624650285,25.75623870193098,5.819,42.77332121,-1350994226.20535,51775830725.826294,4.384528881038818,530,45692407679.64718,20.59453967956222,65,29.360180643638103,39.6519158401509,5.895405367949252,12.5,60.681,3.7191,1129700742.7,42.89066865502349,0.7080590128077461,110.5703286,2809739990.23438,0,3.18708626507603,38.283482058181335,86790568,33.20319823568829,2344860
"Congo, Rep.",COG,31.121522693997072,7.625380486584464,1.3493160173994554,73.79228774646612,4.374,91.90582005,NA,12750338736.166126,-0.08688595788774478,1810,9746848755.232313,24.06713946796609,73,53.163322875154606,48.169919273665265,-1.5265928518694523,NA,64.57,4.3121,157171955.8,61.31601804291185,2.7482965985799304,212.2723094,175679992.67578098,0.315955296,2.56282646096789,15.755502196193264,5380504,40.380478196944686,342000
Djibouti,DJI,73.4253666954271,1.5193512219642857,0.4314077007170386,166.71774637210942,2.676,42.51057973,-174999015.310515,3088853638.568318,5.545130599946702,3110,3031712133.2074413,2.2815318417549286,83,154.2212566265153,14.610289493982018,0.4497974309816186,59,67.112,14.7067,31639049.4,263.33394041195504,NA,104.5978845,262480010.986328,3.81147541,1.51455950269865,41.999870578084554,973557,76.98453842204484,23200
"Egypt, Arab Rep.",EGY,3.9399266663318095,11.048975895131846,2.4840599108323183,17.50061066120516,3.28,94.97170247,-8605068000,303080865603.64465,5.557683887915928,2690,269855667372.6859,18.212735574303377,95,25.73983953702486,35.62344648323763,13.622567569987282,57.2828664,71.99,9.8055,13129959331.1,32.965459499069915,1.1809717968471098,151.4423878,1708880004.88281,8.726570536,1.97628022437557,100.84692952935858,100388076,50.47169477276262,1001450
Equatorial Guinea,GNQ,6.801426024955437,2.4378785084037355,3.945480031912348,51.13074816814503,4.429,45.50194471,NA,11364134108.61747,-5.481823379688677,6320,8567920827.62575,10.891702796766157,53,43.74804169636342,52.07540863092657,-3.1636897501101657,NA,58.735,NA,NA,66.7274772325133,1.3127343948188999,156.2014599,62750000,0.811217815,3.52884025293578,48.34160427807487,1355982,45.29834847452356,28050
Eritrea,ERI,62.70206280701773,NA,0.2516358461074159,NA,3.997,37.48802228,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,66.321,4.2343,20960870.2,73.45767691476306,NA,109.6927063,266000000,1.887268856,NA,28.882567146666155,NA,NA,121668.106
Eswatini,SWZ,71.04651162790697,8.598221397699987,0.8361400452232695,45.94632342673954,2.958,102.4274255,-107061228.338337,4466066557.379572,2.6016558740893743,3710,4256379221.6233134,13.658289175927852,81,43.24518653318533,34.183795570017956,1.8084301692433087,NA,60.194,4.3587,66769733.3,85.84735473018942,1.88614769713679,97.2647524,70510002.1362305,3.396827885,1.03826564467004,66.75191860465117,1148133,52.097329130786676,17360
Ethiopia,ETH,33.83885888005093,33.63332905943359,0.1638134292009901,7.9399766087609,4.146,37.40227963,-2548743427.35754,95912590628.14124,8.364085699078899,850,94972317026.58804,35.26398392121754,58,20.87532439828137,24.82236751003716,12.860396818593856,22,66.597,1.6924,318290495.6,18.03204343322738,0.587739944074668,127.8915749,4676959960.9375,1.117071901,2.57969708764895,99.3103146386578,112078727,37.147582886710815,1136243.012
Gabon,GAB,8.587107540652774,5.5544308701412985,2.416484011160934,51.43107322719963,3.922,137.75384,NA,16874405839.794783,3.9208087945283125,7170,15577087071.410433,21.898796572231944,62,21.99701622146476,47.18274322689619,1.5474851979842157,61,66.467,4.9955,721529349.8,57.93981780942459,1.58090171703068,166.6015598,115819999.69482401,1.026015625,2.48404317871067,8.431629603756743,2172578,40.96649911402169,267670
"Gambia, The",GMB,59.78260869565217,20.004045872555487,0.24705071836843398,18.84139796846952,5.154,110.0953015,-72710000,1813608279.6504369,6.222053159948587,750,1768269137.9819481,24.653843161222817,85,34.42825459671297,17.28260083323233,6.252206399430065,34.5,62.05,3.3743,77241871.4,41.574578615473094,0.814318636979133,110.2598114,189850006.10351598,2.555686274,2.92186286632026,231.98577075098814,2347696,54.774228025317754,11300
Ghana,GHA,55.39131581260438,17.32322999739877,0.6588235409451678,37.44959942138439,3.816,134.3193846,-3292065421.38183,68337537815.77031,6.507774793915203,2230,67723347104.58566,19.664421682987317,92,39.37520240579113,31.1077240035902,8.481072981029754,53,64.074,17.2577,1575603914.5,42.5520159628716,0.44193607788195105,192.3031157,910950012.207031,0.948557979,2.16258446185622,133.6813659136855,30417858,45.14114942592747,238530
Guinea,GIN,59.01025557545173,26.4272767001833,0.30928854143782997,30.119030414687142,4.625,100.7967429,-43380000,13442861443.750565,5.616914468898756,950,12081659414.34394,25.161881585079943,47,42.509163251924406,29.390798487501357,9.402907663281312,23,61.602,6.2667,481053215.3,55.159387240780866,1.44513568163751,105.7760498,559309997.558594,NA,2.83478481749442,51.97479244668729,12771246,35.202828069416334,245860
Guinea-Bissau,GNB,28.986842105263154,30.39657945465323,0.171792957797251,20.28794966212211,4.402,82.79258606,-71268860.0498201,1439638443.3813329,4.499999991513164,800,1535323264.19372,20.31740580912863,79,35.08463592175459,13.26296145820984,-3.417863030908535,19.4,58.322,7.7223,50290600.8,40.56574084173088,1.65279430457493,98.88554157,112809997.558594,NA,2.45652856791883,68.31141536273115,1920917,51.23660018968583,36130
Cote d'Ivoire,CIV,66.66666666666666,20.67122107993398,0.4211295153972068,23.776277560911367,4.593,145.340692,-739662847.653744,58539424929.72483,6.231709513050831,2290,58971175819.99012,20.05864445829199,73,22.624636894257783,21.187272720434446,0.20049212686788564,36.28895457,57.783,4.4906,1914817944.1,39.48108480352412,1.22748072946626,154.9141048,1173640014.64844,1.05661165,2.54938709160815,80.86966666666666,25716554,43.1118666133044,322460
Kenya,KEN,48.546930456478194,20.861163811068607,0.4237838983435566,11.42799666371256,3.423,103.7690208,-461481376.945631,100379713697.42133,5.114158857678007,1830,96154563639.42427,19.34183437397774,89,20.331470061665055,16.9305452274709,4.275234239357502,22.56511937,66.699,7.4725,719708168.5,23.405127524889068,1.16769139046156,107.0607622,3171909912.10938,0.13389515,2.27274637907931,92.37440172892434,52573967,55.959862965675875,580370
Lesotho,LSO,70.55335968379447,4.338656144338484,0.3623074093403389,45.8781779807577,3.108,79.12569144,-35732593.4088113,2451257578.693835,2.4017811544496936,1330,2823280966.529124,26.295275258175867,90,91.45272222888887,29.75912499029414,3.9495704283726525,42.30173357,54.331,0.0387,79280156.3,125.60899461413031,1.62252018358763,78.61149222,140190002.44140598,0.609287864,0.800269955388003,70.0022068511199,2125267,50.1844231895925,30360
Liberia,LBR,20.286960132890368,36.43715132245741,0.23899343001925924,NA,4.247,39.23138089,-86681700.4596762,3319596500,-2.467297635326858,610,3030841624.719623,NA,68,NA,16.98960702000981,-0.5604266340449016,22,64.104,0.0043,396297069.6,42.53529005708977,1.40149287459093,160.187409,580950012.207031,0.121522088,2.4272153554856,51.26011212624585,4937374,41.351254587718714,111370
Libya,LBY,8.723871011741705,4.088789751692303,8.380729344351115,42.835117286532316,2.206,54.8583745,-101900000,69252306372.02316,-11.195694590863809,10200,69161249722.12048,14.162884479349,73,35.37401056430751,48.303463089466156,4.174679241908038,NA,72.913,NA,NA,61.24561364375669,NA,146.3934792,294179992.675781,23.25357671,1.46982235441249,3.851832297077645,6777453,55.76518941916962,1759540
Madagascar,MDG,70.29047782743211,22.815124858235176,0.15276625529626459,28.249657179942787,4.026,48.21406794,-372693195.444086,14191911512.04651,4.400000000022899,520,13985139415.346664,22.509701549607552,55,33.96681323493214,19.251715903809323,8.339071515933853,NA,67.041,6.9232,545183134.5,46.77312139640577,0.6239720195871,66.13566232,722369995.117188,0.255846396,2.65644587984943,46.35494327947748,26969306,52.55301897500616,587295
Malawi,MWI,59.92787441663131,23.00254031306886,0.07783668391708536,NA,4.127,47.78113633,-78754472.9379277,11025370768.813507,5.4481813361728655,560,10420257987.472315,NA,92,NA,18.535526121939164,7.728347979504875,9.9,64.263,2.8119,339457406.9,34.95574054435856,1.12409744485963,100.9760248,1167349975.58594,0.070326791,2.64093709821938,197.5896160373356,18628749,52.40647247584598,118480
Mali,MLI,33.76605282783829,37.30779731809083,0.29657101956316007,25.70529113200698,5.785,116.6214561,-858067844.246565,17280250805.224545,4.756160807708085,860,16927568967.91713,22.531682638607275,70,37.9534116321585,20.923308927951524,1.9305420719782944,24.2,59.306,2.1295,446739781.3,50.97726936542304,2.7135263707231,166.3087045,1814310058.59375,1.232274992,2.99625535273008,16.11062457486129,19658023,33.497003997971774,1240190
Mauritania,MRT,38.47967400795576,21.67694751433519,0.8727935553109641,39.1847599060827,4.503,104.090067,883561115.825519,7889655284.471605,5.759930589737053,1720,7765940943.996614,44.04717137855608,75,50.000980575288715,26.196461527563038,4.342926974888471,36.7,64.925,20.1653,244042441.7,73.33653741992995,1.9806632087102,163.7262566,396510009.765625,1.366817391,2.74148343597351,4.390897448336082,4525698,42.71447761984557,1030700
Mauritius,MUS,42.364532019704434,2.897919535016277,3.2945910056039254,38.470338421768815,1.4,147.0148102,-3545223801.82835,14045808843.220995,3.0123759065882325,12840,16253484157.750744,19.799138591963136,99,53.66901219056947,17.255255351688096,0.5044364829635413,61.72995515,74.23585365853658,31.7206,133865813.4,55.66785143721877,0.15593829900817602,116.7326765,22180000.3051758,36.1275546,0.0322400432027594,623.5029556650246,1265711,67.65906545657435,2040
Morocco,MAR,66.34978041676003,12.145929150264658,1.9598722846854633,39.316936240789865,2.382,127.9529984,-827687174.65304,119870439113.66211,2.6079354946244564,3200,118743494928.41547,31.942234859985113,99,47.90858132244281,25.324122185346017,1.3570769764593251,74.37631447,76.68,15.7931,776348704.4,66.62693537334124,3.09993597018717,107.7919379,751719970.703125,5.633247458,1.22117870546902,81.72029128388976,36471766,50.98004347652597,446550
Mozambique,MOZ,52.66389277448562,24.211433334701663,0.24698641176263894,32.26836151619212,4.783,48.65094674,-2211654426.03788,15390031039.995747,2.3146060102005066,490,14827815459.020536,60.058311497523164,87,79.73055893630155,23.65170938654092,5.055708412895569,15.1,60.854,8.1934,375009852.6,78.60283042030397,1.41998694334012,97.28722867,1831650024.41406,0.266057117,2.90700114585105,38.614973676848344,30366043,40.986019685405886,799380
Namibia,"NAM",47.14013288148769,7.083256598088264,1.6917054276453745,36.36164721652796,3.344,113.1938682,185463746.220911,12543203410.692812,-0.9223352569411105,5170,12891128595.374384,15.019353732092824,80,47.37605654162528,27.05799854484744,1.0213224061903503,40.5,63.708,NA,NA,114.34080697259323,3.0929326417613803,130.7396185,144020004.272461,5.610996861,1.87040232780685,3.0299457056444266,2494524,58.42451269255006,824290
Niger,NER,36.78613720691561,36.91488243918225,0.09223225141049617,11.421733448618369,6.824,51.98896731,-685120079.61937,12916455161.108088,5.941396862970706,590,13862144484.204714,30.608443938849266,79,26.292632083435656,20.543308502792648,0.40685111387492157,NA,62.42,2.5868,345667676.6,26.725598911952996,2.6510438589878,159.7317411,1439479980.46875,0.248812617,3.79420663603704,18.402714928554513,23310719,36.67265907776997,1267000
Nigeria,NGA,76.07491463267345,21.90629593028096,0.5736362060511873,14.22092679124426,5.317,91.85357742,-2019780965.80481,448120428858.7692,2.208429277158203,2030,407589062831.7863,25.415890989336564,57,19.80295104046654,27.382537047608334,10.384779193755136,33.6,54.687,0,2316751410.8,26.284898526043847,0.459170521718203,158.7194879,3277399902.34375,0.053320104,2.56487195537782,220.6524182834305,200963603,49.73021690238964,923770
Rwanda,RWA,73.43737332792865,23.545797022278798,0.10533036931957217,21.810639675807348,3.99,76.49153596,-257740025.963433,10356327149.426168,9.460597561320114,830,10447061795.472866,23.48798063295901,96,36.125687784196806,18.864151133007972,2.480135755136729,26,69.024,5.2709,305607219.4,37.65813829293809,1.23964516790621,165.4751333,1168250000,0.090227648,2.60731374636986,511.833725172274,12626938,49.11974144639535,26340
Sao Tome and Principe,STP,45.83333333333333,12.289811989856386,0.6975187212178863,NA,4.267,77.07806339,-23252893.0648604,427425039.68433946,2.210855832860915,1950,420168740.0341353,NA,95,NA,13.442158170202381,6.978236993154468,32,70.385,3.0194,18835467.3,37.66742353674488,NA,113.3556163,50790000.9155273,2.224536865,1.8851478278935,224.00833333333333,215048,72.66578367928159,960
Senegal,SEN,46.11229418791877,14.899573080831338,0.6516791837073269,24.987932777281006,4.556,109.721371,NA,23398811423.577988,4.6136280974970845,1440,23417387230.411522,31.951353239451336,89,39.261814750385874,23.57803326583572,2.062310677769517,39.5,67.941,0,218536223.8,52.66506822471605,1.51347929001575,111.8033481,1438040039.0625,1.273854708,2.74996220289833,84.64323482054745,16296362,50.96608432866233,196710
Seychelles,SYC,3.369565217391304,2.64732263742215,6.248399634367375,91.37599851069591,2.36,198.1522217,-262028446.61632,1684228528.6729732,3.087480982906982,16680,1628139910.2102163,28.079305442729492,99,101.02389656106148,15.028432168968319,0.7223299958435803,75,74.04634146341465,NA,NA,100.04580562043056,1.33536129160663,80.01537399,NA,20.58748299,0.887925293341637,212.22826086956522,97625,67.76889893040888,460
Sierra Leone,SLE,54.710446106954834,58.15447244734771,0.11518957275266635,18.24693607889646,4.169,86.13360825,-301485441.349211,4076578542.5620685,5.2542412025153595,530,4158883999.2624855,12.532034495013649,93,37.943714325991806,5.552261021613589,7.702269014032794,16.8,54.696,10.0645,502914304.9,52.42141118313711,0.734967689713532,50.01959658,566099975.585938,0.006092242,2.10903821950532,108.2461485175949,7813207,32.80393491317413,72300
Somalia,SOM,70.33665954665732,NA,0.04468070955141565,17.462665198879847,5.978,53.27365544,NA,6476674591.87472,8.081440021913693,420,6517096093.823106,NA,46,83.73124082539825,NA,7.166604839944,NA,57.397,59.1567,218503036,NA,NA,99.65311026,1719739990.23438,0.589267369,2.85513551663708,24.616485478368986,15442906,NA,637660
South Africa,ZAF,79.41785028316119,1.9643024584051632,7.507736092129195,27.342180492264845,2.381,165.5999383,-1975160486.06064,387934574098.17004,0.1130536967421989,6670,390322921728.4007,16.021141333969727,83,26.808065758402776,23.57785537935263,4.49944873978896,68.2,64.131,18.6343,2468917538,50.92508200880461,0.9780573969649811,152.1459905,964950012.207031,3.457632884,1.31629200967216,48.27198888788136,58558267,64.36429036481908,1219090
South Sudan,SSD,44.70590097004415,10.220118528872694,0.1536776829170012,NA,4.619,20.08628008,2210000,NA,NA,NA,NA,NA,49,NA,44.08813486368028,NA,5.6,57.846,NA,NA,NA,3.5581848902324604,NA,1676640014.64844,NA,0.782197030861146,17.505283813080563,11062114,45.69174662151047,646883
Sudan,SDN,37.15516059957174,20.16401534844429,0.4816267650874751,0.630574147276582,4.347,77.11203717,-825354992.310273,32338079165.289257,-2.178251045300911,940,40249472177.13038,35.804238544219395,90,0.588271159879598,21.736301326528213,51.97889334654516,25.9,65.311,24.3739,528204801.9,40.280685607269234,1.64462108853173,200.956828,1535380004.88281,0.321961165,2.39143408960219,22.91929175588865,42813237,37.635627820689706,1878000
Tanzania,TZA,44.37762474599232,26.54641516503476,0.21463496013358294,16.007863881448245,4.832,82.20817408,-1217235252.41974,61136873692.3985,5.799999977099148,1100,62140079392.23781,39.65485825483736,88,16.951258709928283,28.620195228660734,2.4649491295546824,20,65.456,11.5542,300580648.5,23.646940261843195,1.01776679034697,174.1552657,2124520019.53125,0.131518647,2.96038624624594,65.48369948069542,58005461,36.76616884511912,947300
Togo,TGO,70.23349880492738,19.755206761172236,0.29323120707197986,23.061581951486215,4.259,77.19500701,-302854863.636732,7220395247.742405,5.459921448357832,920,7413676580.583852,20.543100132868172,75,31.31048769781603,21.166725327850617,1.5450926555589035,19.3,61.042,16.1278,318867134,43.571021973951595,3.14621707722131,115.2893286,403720001.220703,0.539507862,2.42023592434892,148.60009192866335,8082359,49.613919034328966,56790
Tunisia,TUN,62.635169927909374,9.642318711942725,2.557564207595213,46.09686535311278,2.174,126.3052836,-810173457.680643,41772900763.35878,1.3223630892515388,3620,42356437644.842766,19.620177780098288,98,56.56208597925899,23.31234540506321,7.0744682628119335,66.6999983,76.699,29.0261,2132216102.5,87.37003974599114,2.56455933176895,100.2620313,979070007.324219,12.43452707,1.11366949118351,75.2749806900103,11694721,60.03741279050795,163610
Uganda,UGA,71.8880909634949,22.94550880692251,0.13237078840411137,17.10905801691758,4.824,57.36556563,-1273559949.03929,35353060634.20217,6.43874503364799,780,34751587486.248985,25.529640736625137,87,22.25199594798856,26.62043669558517,3.0000118187706732,14.7,63.368,6.811,239311795.4,31.850141962267784,1.76979807870097,116.4401777,2028010009.76563,0.193609185,3.54193220575762,220.77392280071814,44269587,42.99811104973115,241550
Zambia,ZMB,32.063923378038446,2.8607749368079616,0.38071705091289004,34.63619260318805,4.559,96.41441171,148245626.875647,23308667781.225754,1.44130602603785,1430,25612457915.727898,39.26190698260694,93,34.155012332907944,34.94198121711667,7.6334704807674285,16.8,63.886,3.0124,666541290.5,61.03737945700743,1.21937450224897,169.1659834,947849975.585938,0.541508524,2.89301773705047,24.026465247043948,17861034,54.60375910255518,752610
Zimbabwe,ZWE,41.87669639395114,10.143657090206393,0.8029785196341422,31.25104041251767,3.531,90.10228966,-247096265.27,19284289739.051693,-6.144236314391165,1210,17763898039.434395,7.408701896351263,85,32.030874765606676,34.69145229330543,440.82979101471255,25.1,61.49,28.7585,468198468.7,47.116072839335,0.698600973197018,114.5131095,842750000,1.81444526,1.42114188586135,37.85827323251907,14645473,48.96368187432406,390760
