"year","imdb","title","test","clean_test","binary","budget","domgross","intgross","code","budget_2013","domgross_2013","intgross_2013","period_code","decade_code","int_only","roi_total","roi_dom","roi_int"
2013,"tt1204975","Last Vegas","notalk","notalk","FAIL",28000000,63914167,112914167,"2013FAIL",28000000,63914167,112914167,1,1,4.9e+07,4.03264882142857,2.28264882142857,1.75
2013,"tt1327773","Lee Daniels' The Butler","ok","ok","PASS",30000000,116632095,151513429,"2013PASS",30000000,116632095,151513429,1,1,34881334,5.05044763333333,3.8877365,1.16271113333333
2013,"tt2002718","Machete Kills","ok","ok","PASS",2000000,8008161,9408161,"2013PASS",2000000,8008161,9408161,1,1,1400000,4.7040805,4.0040805,0.7
2013,"tt2023587","Mama","ok","ok","PASS",15000000,71628180,148041253,"2013PASS",15000000,71628180,148041253,1,1,76413073,9.86941686666667,4.775212,5.09420486666667
2013,"tt0770828","Man of Steel","ok-disagree","ok","PASS",225000000,291045518,687999518,"2013PASS",225000000,291045518,687999518,1,1,396954000,3.05777563555556,1.29353563555556,1.76424
2013,"tt1821549","Nebraska","ok-disagree","ok","PASS",12000000,17482517,17482517,"2013PASS",12000000,17482517,17482517,1,1,0,1.45687641666667,1.45687641666667,0
2013,"tt1670345","Now You See Me","notalk-disagree","notalk","FAIL",75000000,117723989,351723989,"2013FAIL",75000000,117723989,351723989,1,1,2.34e+08,4.68965318666667,1.56965318666667,3.12
2013,"tt1483013","Oblivion","men-disagree","men","FAIL",120000000,89107235,287537983,"2013FAIL",120000000,89107235,287537983,1,1,198430748,2.39614985833333,0.742560291666667,1.65358956666667
2013,"tt2302755","Olympus Has Fallen","notalk","notalk","FAIL",70000000,98927592,150562164,"2013FAIL",70000000,98927592,150562164,1,1,51634572,2.15088805714286,1.41325131428571,0.737636742857143
2013,"tt1623205","Oz the Great and Powerful","ok-disagree","ok","PASS",200000000,234770996,489570996,"2013PASS",200000000,234770996,489570996,1,1,254800000,2.44785498,1.17385498,1.274
2013,"tt1663662","Pacific Rim","notalk-disagree","notalk","FAIL",190000000,101802906,411002906,"2013FAIL",190000000,101802906,411002906,1,1,309200000,2.16317318947368,0.535804768421053,1.62736842105263
2013,"tt1980209","Pain & Gain","notalk","notalk","FAIL",26000000,49875291,81275291,"2013FAIL",26000000,49875291,81275291,1,1,31400000,3.12597273076923,1.91828042307692,1.20769230769231
2013,"tt1904996","Parker","ok","ok","PASS",35000000,17616641,46346651,"2013PASS",35000000,17616641,46346651,1,1,28730010,1.32419002857143,0.5033326,0.820857428571429
2013,"tt1699755","Peeples","dubious","dubious","FAIL",15000000,9177065,9177065,"2013FAIL",15000000,9177065,9177065,1,1,0,0.611804333333333,0.611804333333333,0
2013,"tt1854564","Percy Jackson: Sea of Monsters","ok","ok","PASS",90000000,68559554,200859554,"2013PASS",90000000,68559554,200859554,1,1,132300000,2.23177282222222,0.761772822222222,1.47
2013,"tt1392214","Prisoners","ok","ok","PASS",46000000,61002302,113402302,"2013PASS",46000000,61002302,113402302,1,1,52400000,2.46526743478261,1.326137,1.13913043478261
2013,"tt0790736","R.I.P.D.","notalk","notalk","FAIL",130000000,33618855,79019947,"2013FAIL",130000000,33618855,79019947,1,1,45401092,0.607845746153846,0.258606576923077,0.349239169230769
2013,"tt1821694","Red 2","ok","ok","PASS",84000000,53262560,137162560,"2013PASS",84000000,53262560,137162560,1,1,83900000,1.63288761904762,0.634078095238095,0.998809523809524
2013,"tt1411250","Riddick","notalk-disagree","notalk","FAIL",38000000,42025135,92425135,"2013FAIL",38000000,42025135,92425135,1,1,50400000,2.43224039473684,1.10592460526316,1.32631578947368
2013,"tt2364841","Runner Runner","nowomen","nowomen","FAIL",30000000,19316646,62616646,"2013FAIL",30000000,19316646,62616646,1,1,43300000,2.08722153333333,0.6438882,1.44333333333333
2013,"tt1979320","Rush","notalk","notalk","FAIL",38000000,26947624,43047624,"2013FAIL",38000000,26947624,43047624,1,1,16100000,1.13283221052632,0.709148,0.423684210526316
2013,"tt1702439","Safe Haven","ok","ok","PASS",28000000,71399120,93943623,"2013PASS",28000000,71399120,93943623,1,1,22544503,3.35512939285714,2.54996857142857,0.805160821428571
2013,"tt2140373","Saving Mr. Banks","ok","ok","PASS",35000000,82834332,100734332,"2013PASS",35000000,82834332,100734332,1,1,17900000,2.87812377142857,2.3666952,0.511428571428571
2013,"tt2053463","Side Effects","ok","ok","PASS",30000000,32172757,60288363,"2013PASS",30000000,32172757,60288363,1,1,28115606,2.0096121,1.07242523333333,0.937186866666667
2013,"tt1408101","Star Trek Into Darkness","notalk-disagree","notalk","FAIL",190000000,228778661,466978661,"2013FAIL",190000000,228778661,466978661,1,1,238200000,2.45778242631579,1.20409821578947,1.25368421052632
2013,"tt1572315","Texas Chainsaw 3D","ok-disagree","ok","PASS",20000000,34341945,39093317,"2013PASS",20000000,34341945,39093317,1,1,4751372,1.95466585,1.71709725,0.2375686
2013,"tt1931435","The Big Wedding","ok","ok","PASS",32500000,21819348,35770721,"2013PASS",32500000,21819348,35770721,1,1,13951373,1.10063756923077,0.671364553846154,0.429273015384615
2013,"tt0816442","The Book Thief","ok","ok","PASS",19000000,21345525,62045525,"2013PASS",19000000,21345525,62045525,1,1,40700000,3.26555394736842,1.12344868421053,2.14210526315789
2013,"tt1911644","The Call","ok","ok","PASS",13000000,51872378,58938768,"2013PASS",13000000,51872378,58938768,1,1,7066390,4.53375138461538,3.99018292307692,0.543568461538462
2013,"tt1457767","The Conjuring","ok","ok","PASS",20000000,137400141,318000141,"2013PASS",20000000,137400141,318000141,1,1,180600000,15.90000705,6.87000705,9.03
2013,"tt2193215","The Counselor","ok","ok","PASS",25000000,16973715,70373715,"2013PASS",25000000,16973715,70373715,1,1,53400000,2.8149486,0.6789486,2.136
2013,"tt0481499","The Croods","men-disagree","men","FAIL",135000000,187168425,573068425,"2013FAIL",135000000,187168425,573068425,1,1,385900000,4.2449512962963,1.38643277777778,2.85851851851852
2013,"tt2404311","The Family","men","men","FAIL",30000000,36918811,51078541,"2013FAIL",30000000,36918811,51078541,1,1,14159730,1.70261803333333,1.23062703333333,0.471991
2013,"tt1837703","The Fifth Estate","notalk","notalk","FAIL",26000000,3254172,6154172,"2013FAIL",26000000,3254172,6154172,1,1,2900000,0.236698923076923,0.125160461538462,0.111538461538462
2013,"tt2005374","The Frozen Ground","nowomen-disagree","nowomen","FAIL",19200000,NA,NA,"2013FAIL",19200000,NA,NA,1,1,NA,NA,NA,NA
2013,"tt1343092","The Great Gatsby","dubious","dubious","FAIL",190000000,144840419,351040419,"2013FAIL",190000000,144840419,351040419,1,1,206200000,1.84758115263158,0.762317994736842,1.08526315789474
2013,"tt1951261","The Hangover part 3","men","men","FAIL",103000000,112200072,362000072,"2013FAIL",103000000,112200072,362000072,1,1,249800000,3.51456380582524,1.08932108737864,2.4252427184466
2013,"tt2404463","The Heat","ok","ok","PASS",43000000,159581587,230781587,"2013PASS",43000000,159581587,230781587,1,1,71200000,5.36701365116279,3.71119969767442,1.65581395348837
2013,"tt1170358","The Hobbit: The Desolation of Smaug","notalk-disagree","notalk","FAIL",250000000,257397516,937397516,"2013FAIL",250000000,257397516,937397516,1,1,6.8e+08,3.749590064,1.029590064,2.72
2013,"tt1517260","The Host","dubious-disagree","dubious","FAIL",50000000,26623701,58188384,"2013FAIL",50000000,26623701,58188384,1,1,31564683,1.16376768,0.53247402,0.63129366
2013,"tt1951264","The Hunger Games: Catching Fire","ok","ok","PASS",130000000,424088260,857088260,"2013PASS",130000000,424088260,857088260,1,1,4.33e+08,6.59298661538462,3.26221738461538,3.33076923076923
2013,"tt0790628","The Incredible Burt Wonderstone","notalk","notalk","FAIL",32000000,22537881,24255957,"2013FAIL",32000000,22537881,24255957,1,1,1718076,0.75799865625,0.70430878125,0.053689875
2013,"tt2234155","The Internship","notalk","notalk","FAIL",58000000,44672764,93672764,"2013FAIL",58000000,44672764,93672764,1,1,4.9e+07,1.61504765517241,0.770220068965517,0.844827586206897
2013,"tt2034139","The Last Exorcism Part II","ok","ok","PASS",4000000,15179303,18541236,"2013PASS",4000000,15179303,18541236,1,1,3361933,4.635309,3.79482575,0.84048325
2013,"tt1210819","The Lone Ranger","notalk","notalk","FAIL",275000000,89289910,259989910,"2013FAIL",275000000,89289910,259989910,1,1,170700000,0.945417854545455,0.324690581818182,0.620727272727273
2013,"tt1538403","The Mortal Instruments: City of Bones","ok-disagree","ok","PASS",60000000,31165421,75965567,"2013PASS",60000000,31165421,75965567,1,1,44800146,1.26609278333333,0.519423683333333,0.7466691
2013,"tt2184339","The Purge","dubious","dubious","FAIL",3000000,64473115,91100541,"2013FAIL",3000000,64473115,91100541,1,1,26627426,30.366847,21.4910383333333,8.87580866666667
2013,"tt2017020","The Smurfs 2","ok","ok","PASS",110000000,71017784,348545841,"2013PASS",110000000,71017784,348545841,1,1,277528057,3.16859855454545,0.645616218181818,2.52298233636364
2013,"tt1758795","The To Do List","ok","ok","PASS",1500000,3491669,3491669,"2013PASS",1500000,3491669,3491669,1,1,0,2.32777933333333,2.32777933333333,0
2013,"tt1727388","The Way Way Back","ok-disagree","ok","PASS",5000000,21502690,26161443,"2013PASS",5000000,21502690,26161443,1,1,4658753,5.2322886,4.300538,0.9317506
2013,"tt0993846","The Wolf of Wall Street","notalk-disagree","notalk","FAIL",100000000,115702857,365702857,"2013FAIL",100000000,115702857,365702857,1,1,2.5e+08,3.65702857,1.15702857,2.5
2013,"tt1430132","The Wolverine","ok","ok","PASS",115000000,132556852,416456852,"2013PASS",115000000,132556852,416456852,1,1,283900000,3.62136393043478,1.15266827826087,2.46869565217391
2013,"tt1213663","The World's End","men-disagree","men","FAIL",20000000,26004851,46578821,"2013FAIL",20000000,26004851,46578821,1,1,20573970,2.32894105,1.30024255,1.0286985
2013,"tt1245492","This Is the End","notalk","notalk","FAIL",32000000,101470202,126294264,"2013FAIL",32000000,101470202,126294264,1,1,24824062,3.94669575,3.1709438125,0.7757519375
2013,"tt1981115","Thor: The Dark World","dubious-disagree","dubious","FAIL",170000000,204674790,631674790,"2013FAIL",170000000,204674790,631674790,1,1,4.27e+08,3.71573405882353,1.20396935294118,2.51176470588235
2013,"tt1924429","Trance","nowomen","nowomen","FAIL",16000000,2322593,22594052,"2013FAIL",16000000,2322593,22594052,1,1,20271459,1.41212825,0.1451620625,1.2669661875
2013,"tt1860353","Turbo","dubious-disagree","dubious","FAIL",135000000,83028130,283828130,"2013FAIL",135000000,83028130,283828130,1,1,200800000,2.10243059259259,0.615023185185185,1.48740740740741
2013,"tt1588173","Warm Bodies","men-disagree","men","FAIL",30000000,66380662,116643610,"2013FAIL",30000000,66380662,116643610,1,1,50262948,3.88812033333333,2.21268873333333,1.6754316
2013,"tt1723121","We're the Millers","ok","ok","PASS",37000000,150394119,270000119,"2013PASS",37000000,150394119,270000119,1,1,119606000,7.29730051351351,4.06470591891892,3.23259459459459
2013,"tt2334879","White House Down","men","men","FAIL",150000000,73103784,205440387,"2013FAIL",150000000,73103784,205440387,1,1,132336603,1.36960258,0.48735856,0.88224402
2013,"tt0816711","World War Z","dubious-disagree","dubious","FAIL",190000000,202359711,539559711,"2013FAIL",190000000,202359711,539559711,1,1,337200000,2.83978795263158,1.06505111052632,1.77473684210526
2012,"tt1611224","Abraham Lincoln: Vampire Hunter","dubious-disagree","dubious","FAIL",67500000,37519139,115119139,"2012FAIL",68488103,38068365,116804318,1,1,78735953,1.70546872936457,0.555839092228909,1.14962963713566
2012,"tt1591479","Act of Valor","nowomen","nowomen","FAIL",12000000,70012847,82497035,"2012FAIL",12175663,71037735,83704673,1,1,12666938,6.87475277526981,5.83440384314185,1.04034893212797
2012,"tt1602620","Amour","dubious-disagree","dubious","FAIL",9700000,6738954,25915719,"2012FAIL",9841994,6837603,26295088,1,1,19457485,2.67172363649074,0.694737570455743,1.97698606603499
2012,"tt1781769","Anna Karenina","men-disagree","men","FAIL",49000000,12816367,70735540,"2012FAIL",49717290,13003980,71771007,1,1,58767027,1.44358244385404,0.261558504093847,1.18202393976019
2012,"tt1024648","Argo","ok-disagree","ok","PASS",44500000,136025503,221300694,"2012PASS",45151416,138016721,224540219,1,1,86523498,4.97304932806537,3.05675288234593,1.91629644571944
2012,"tt1440129","Battleship","notalk-disagree","notalk","FAIL",209000000,65235400,304142720,"2012FAIL",212059460,66190353,308594933,1,1,242404580,1.45522832605534,0.312131102286123,1.14309722376922
2012,"tt2125435","Beasts of the Southern Wild","dubious-disagree","dubious","FAIL",1800000,12795746,21080058,"2012FAIL",1826349,12983057,21388640,1,1,8405583,11.7111461171988,7.10874920401303,4.60239691318581
2012,"tt1758575","Blue Like Jazz","ok","ok","PASS",1200000,595018,595018,"2012PASS",1217566,603728,603728,1,1,0,0.49584827434406,0.49584827434406,0
2012,"tt1217209","Brave","ok","ok","PASS",185000000,237282182,554606532,"2012PASS",187708135,240755653,562725176,1,1,321969523,2.99787313959515,1.28260638783716,1.71526675175799
2012,"tt1308729","Bullet to the Head","nowomen","nowomen","FAIL",55000000,9489829,13561515,"2012FAIL",55805121,9628746,13760036,1,1,4131290,0.246572998202083,0.17254233710917,0.074030661092913
2012,"tt1991245","Chernobyl Diaries","notalk","notalk","FAIL",1000000,18119640,38390020,"2012FAIL",1014639,18384886,38951995,1,1,20567109,38.3900037353187,18.1196326969494,20.2703710383693
2012,"tt1706593","Chronicle","notalk","notalk","FAIL",12000000,64575175,127075175,"2012FAIL",12175663,65520463,128935373,1,1,63414910,10.5895977081494,5.38126449459056,5.20833321355888
2012,"tt1371111","Cloud Atlas","ok","ok","PASS",102000000,27108272,126018564,"2012PASS",103493134,27505098,127863295,1,1,100358197,1.23547611380674,0.265767369649855,0.969708744156883
2012,"tt1524137","Contraband","ok","ok","PASS",25000000,66528000,98406855,"2012PASS",25365964,67501874,99847390,1,1,32345516,3.93627421374563,2.66111999528187,1.27515421846376
2012,"tt1853728","Django Unchained","notalk-disagree","notalk","FAIL",100000000,162805434,425373688,"2012FAIL",101463857,165188672,431600549,1,1,266411877,4.2537368651381,1.62805433268716,2.62568253245094
2012,"tt1907668","Flight","dubious-disagree","dubious","FAIL",31000000,93772375,161772375,"2012FAIL",31453796,95145068,164140491,1,1,68995423,5.2184636474402,3.02491527572697,2.19354837171323
2012,"tt1142977","Frankenweenie","nowomen-disagree","nowomen","FAIL",39000000,35287788,81150788,"2012FAIL",39570904,35804351,82338719,1,1,46534368,2.08078943559136,0.904815088379078,1.17597434721228
2012,"tt2243973","Hannibal","ok","ok","PASS",87000000,165092266,350100280,"2012PASS",88273555,167508980,355225246,1,1,187716266,4.0241411598298,1.8976122577141,2.1265289021157
2012,"tt0837562","Hotel Transylvania","ok","ok","PASS",85000000,148313048,359222014,"2012PASS",86244278,150484138,364480509,1,1,213996371,4.22614134470463,1.7448593864975,2.48128195820713
2012,"tt0790724","Jack Reacher","notalk","notalk","FAIL",60000000,80070736,217370736,"2012FAIL",60878314,81242857,220552732,1,1,139309875,3.62284559983051,1.33451226983717,2.28833332999334
2012,"tt2106476","Jagten","men","men","FAIL",3450000,687185,687185,"2012FAIL",3500503,697244,697244,1,1,0,0.199183945850068,0.199183945850068,0
2012,"tt0401729","John Carter","ok-disagree","ok","PASS",275000000,73058679,282778100,"2012PASS",279025606,74128153,286917566,1,1,212789413,1.02828399913949,0.265667922247967,0.762616076891524
2012,"tt1764234","Killing Them Softly","nowomen","nowomen","FAIL",15000000,14945541,37238774,"2012FAIL",15219578,15164322,37783896,1,1,22619574,2.48258499677192,0.996369413133531,1.48621558363839
2012,"tt1707386","Les Miserables","ok-disagree","ok","PASS",65000000,148809770,442022894,"2012PASS",65951507,150988132,448493475,1,1,297505343,6.80035218907128,2.2893810750981,4.51097111397318
2012,"tt0454876","Life of Pi","notalk-disagree","notalk","FAIL",120000000,124987022,607987022,"2012FAIL",121756628,126816653,616887080,1,1,490070427,5.06655851211648,1.04155851786566,4.02499999425083
2012,"tt0443272","Lincoln","ok-disagree","ok","PASS",65000000,182207973,273000960,"2012PASS",65951507,184875236,276997302,1,1,92122066,4.20001474719903,2.80319956904093,1.3968151781581
2012,"tt1277953","Madagascar 3: Europe's Most Wanted","men-disagree","men","FAIL",145000000,216391482,746921271,"2012FAIL",147122592,219559143,757855127,1,1,538295984,5.1511811795703,1.49235504904644,3.65882613052386
2012,"tt1409024","Men in Black III","notalk","notalk","FAIL",215000000,179020854,624821154,"2012FAIL",218147292,181641463,633967639,1,1,452326176,2.90614489498224,0.832655135595266,2.07348975938697
2012,"tt1667353","Mirror Mirror","dubious","dubious","FAIL",85000000,64935167,168611991,"2012FAIL",86244278,65885725,171080229,1,1,105194504,1.98367048768151,0.763943145306405,1.21972734237511
2012,"tt1748122","Moonrise Kingdom","ok","ok","PASS",16000000,45512466,64012466,"2012PASS",16234217,46178703,64949517,1,1,18770814,4.000779156765,2.84452912019101,1.15625003657398
2012,"tt2094064","Much Ado About Nothing","dubious-disagree","dubious","FAIL",8000000,22549338,22549338,"2012FAIL",8117109,22879428,22879428,1,1,0,2.8186670894773,2.8186670894773,0
2012,"tt1598828","One for the Money","ok","ok","PASS",42000000,26414527,36197221,"2012PASS",42614820,26801198,36727096,1,1,9925898,0.86183858103824,0.628917310926105,0.232921270112135
2012,"tt2109184","Paranormal Activity 4","ok","ok","PASS",5000000,53900335,142793842,"2012PASS",5073193,54689359,144884139,1,1,90194780,28.5587674271411,10.7800667153802,17.7787007117608
2012,"tt1623288","ParaNorman","notalk-disagree","notalk","FAIL",60000000,56003051,108159011,"2012FAIL",60878314,56822855,109742304,1,1,52919449,1.8026501850889,0.933384176835121,0.869266008253777
2012,"tt1047540","Parental Guidance","ok","ok","PASS",25000000,77267296,120168633,"2012PASS",25365964,78398378,121927729,1,1,43529351,4.80674533008089,3.09069184202895,1.71605348805194
2012,"tt1716777","People Like Us","ok","ok","PASS",16000000,12431792,12431792,"2012PASS",16234217,12613776,12613776,1,1,0,0.776987026845828,0.776987026845828,0
2012,"tt1981677","Pitch Perfect","ok","ok","PASS",17000000,65001093,115331177,"2012PASS",17248856,65952616,117019460,1,1,51066844,6.78418673099248,3.82359363426769,2.96059309672479
2012,"tt1547234","Premium Rush","ok","ok","PASS",35000000,20275446,31393201,"2012PASS",35512350,20572249,31852752,1,1,11280503,0.896948582676168,0.579298441246496,0.317650141429672
2012,"tt1234719","Red Dawn","notalk-disagree","notalk","FAIL",65000000,44806783,48164150,"2012FAIL",65951507,45462690,48869204,1,1,3406514,0.740986919373958,0.689335120120909,0.0516517992530482
2012,"tt0485985","Red Tails","men","men","FAIL",58000000,49876377,50365498,"2012FAIL",58849037,50606496,51102777,1,1,496281,0.868370658299812,0.859937538145272,0.00843312015454051
2012,"tt1446192","Rise of the Guardians","notalk-disagree","notalk","FAIL",145000000,103412758,306900902,"2012FAIL",147122592,104926572,311393491,1,1,206466919,2.11655794509113,0.713191431537585,1.40336651355354
2012,"tt1336608","Rock of Ages","ok","ok","PASS",70000000,38518613,50118613,"2012PASS",71024700,39082470,50852278,1,1,11769808,0.715980187174321,0.550265893414545,0.165714293759777
2012,"tt1656190","Safe","notalk-disagree","notalk","FAIL",33000000,17142080,41495213,"2012FAIL",33483073,17393015,42102643,1,1,24709628,1.25743067250727,0.519456950680722,0.737973721826548
2012,"tt1862079","Safety Not Guaranteed","ok-disagree","ok","PASS",750000,4010957,4413188,"2012PASS",760979,4069672,4477791,1,1,408119,5.88425041952537,5.34794258448656,0.536307835038812
2012,"tt1931533","Seven Psychopaths","notalk-disagree","notalk","FAIL",13500000,15024049,23492318,"2012FAIL",13697621,15243980,23836212,1,1,8592232,1.74017166922636,1.11289252345353,0.627279145772832
2012,"tt0938330","Silent Hill: Revelation 3D","ok","ok","PASS",20000000,17530219,47944599,"2012PASS",20292771,17786836,48646439,1,1,30859603,2.3972299790896,0.876510950623747,1.52071902846585
2012,"tt1045658","Silver Linings Playbook","ok","ok","PASS",21000000,132092958,227317397,"2012PASS",21307410,134026609,230644998,1,1,96618389,10.8246379076575,6.29014080078245,4.53449710687503
2012,"tt1922777","Sinister","men","men","FAIL",3000000,48086903,87727807,"2012FAIL",3043916,48790826,89012016,1,1,40221190,29.2425993358555,16.0289659767221,13.2136333591334
2012,"tt1074638","Skyfall","dubious-disagree","dubious","FAIL",200000000,304360277,1108694081,"2012FAIL",202927713,308815675,1124923772,1,1,816108097,5.54347040810537,1.52180138648682,4.02166902161855
