"d","s","y","spp"
6,0.0730598,0,"black spruce"
5,0.0730598,0,"black spruce"
9,0.0730598,0,"black spruce"
11,0.0730598,0,"cedar"
6,0.0748013,0,"balsam fir"
6,0.0748013,0,"balsam fir"
6,0.0748013,0,"balsam fir"
34,0.0760489,0,"aspen"
14,0.0773118,0,"black spruce"
13,0.0777039,1,"paper birch"
11,0.0777039,1,"paper birch"
9,0.0777039,1,"paper birch"
13,0.0777039,1,"paper birch"
13,0.0777039,1,"paper birch"
12,0.0777039,1,"paper birch"
15,0.0777039,1,"paper birch"
12,0.0777039,0,"paper birch"
11,0.0777039,1,"paper birch"
17,0.0777039,1,"paper birch"
12,0.0777039,1,"paper birch"
11,0.0777039,1,"paper birch"
34,0.0780471,0,"aspen"
51,0.0780471,0,"aspen"
28,0.0780471,0,"red pine"
38,0.0792837,0,"aspen"
13,0.0792837,0,"red maple"
10,0.0792837,0,"red maple"
12,0.0792837,0,"red maple"
10,0.0792837,0,"red maple"
11,0.0805133,0,"black spruce"
25,0.0805133,0,"red pine"
6,0.0805133,0,"red maple"
9,0.0813203,0,"aspen"
39,0.0813203,0,"aspen"
40,0.0813203,0,"aspen"
36,0.0813203,0,"aspen"
7,0.0818451,0,"black spruce"
6,0.0818451,0,"black spruce"
20,0.0818451,0,"cedar"
13,0.0818451,0,"jackpine"
7,0.0818451,0,"jackpine"
6,0.0818451,0,"jackpine"
8,0.0818451,0,"jackpine"
5,0.0846147,0,"black spruce"
6,0.0846147,0,"black spruce"
5,0.0846147,0,"black spruce"
5,0.0846147,0,"black spruce"
6,0.0846147,0,"cedar"
12,0.0846147,0,"cedar"
6,0.0846147,0,"red pine"
8,0.084997,0,"balsam fir"
6,0.084997,0,"balsam fir"
7,0.084997,0,"balsam fir"
6,0.084997,0,"balsam fir"
7,0.084997,0,"balsam fir"
9,0.084997,0,"balsam fir"
10,0.084997,0,"black spruce"
12,0.084997,0,"cedar"
5,0.084997,0,"red pine"
42,0.0868586,1,"aspen"
9,0.0868586,0,"red maple"
6,0.0868586,1,"red maple"
9,0.0868586,1,"red maple"
7,0.0868586,0,"red maple"
25,0.0868586,1,"red maple"
5,0.0879988,0,"black spruce"
6,0.0879988,0,"black spruce"
6,0.0879988,0,"black spruce"
5,0.0879988,0,"black spruce"
5,0.0879988,0,"black spruce"
8,0.0879988,0,"black spruce"
5,0.0879988,0,"red pine"
7,0.0879988,0,"red pine"
5,0.0879988,0,"red pine"
21,0.0886621,0,"aspen"
22,0.0886621,0,"aspen"
31,0.0886621,0,"aspen"
28,0.0886621,0,"aspen"
28,0.0886621,0,"aspen"
28,0.0886621,0,"aspen"
13,0.0886621,0,"cedar"
16,0.0886621,0,"cedar"
16,0.089435,0,"black spruce"
10,0.089435,0,"black spruce"
12,0.089435,1,"black spruce"
14,0.089435,0,"red pine"
5,0.0894688,0,"black spruce"
7,0.0894688,0,"cedar"
6,0.0894688,0,"cedar"
9,0.0894688,0,"cedar"
8,0.0894688,0,"cedar"
12,0.0894688,0,"cedar"
13,0.0894688,0,"cedar"
7,0.0894688,0,"red pine"
7,0.0899905,0,"cedar"
8,0.0899905,0,"cedar"
6,0.0899905,0,"cedar"
6,0.0899905,0,"cedar"
10,0.0899905,0,"cedar"
10,0.0899905,0,"cedar"
11,0.0899905,0,"cedar"
11,0.0904253,0,"cedar"
9,0.0914889,0,"black spruce"
12,0.0914889,0,"black spruce"
5,0.0914889,0,"black spruce"
10,0.0914889,0,"black spruce"
7,0.0914889,0,"black spruce"
17,0.0914889,0,"cedar"
5,0.0943459,0,"black spruce"
7,0.0943459,0,"black spruce"
5,0.0943459,0,"black spruce"
33,0.0943459,0,"red pine"
10,0.095173,0,"balsam fir"
12,0.095173,1,"balsam fir"
14,0.0958845,0,"black spruce"
15,0.0958845,0,"cedar"
15,0.0958845,0,"cedar"
21,0.0958845,0,"cedar"
13,0.0958845,0,"cedar"
10,0.0958845,0,"cedar"
12,0.0958845,0,"cedar"
25,0.0958845,1,"paper birch"
23,0.0958845,0,"paper birch"
17,0.0965822,0,"aspen"
8,0.0965822,0,"aspen"
5,0.0965822,0,"black spruce"
16,0.0965822,0,"cedar"
7,0.0965822,0,"cedar"
8,0.0974461,0,"cedar"
15,0.0974461,0,"red pine"
11,0.0974461,0,"red pine"
14,0.0974461,0,"red pine"
9,0.0974461,0,"red pine"
13,0.0990518,0,"red pine"
15,0.0990518,0,"red pine"
14,0.0990518,0,"red pine"
16,0.0990518,0,"red pine"
10,0.0990518,0,"red pine"
11,0.0990518,0,"red pine"
12,0.0990518,0,"red pine"
10,0.0990518,0,"red pine"
17,0.0990518,0,"red pine"
18,0.0992233,0,"cedar"
16,0.0992233,0,"cedar"
15,0.0992233,0,"cedar"
15,0.0992233,0,"cedar"
17,0.0992233,0,"cedar"
15,0.0992233,0,"cedar"
16,0.0992233,0,"cedar"
17,0.0992233,0,"cedar"
8,0.0992233,0,"cedar"
13,0.0992233,0,"cedar"
12,0.0994145,0,"aspen"
12,0.0994145,0,"aspen"
12,0.0994145,1,"aspen"
17,0.0994145,0,"black spruce"
5,0.0994145,0,"red pine"
7,0.0994145,0,"red pine"
9,0.0994145,0,"red pine"
7,0.0994145,0,"red pine"
8,0.0994145,0,"red pine"
5,0.0994145,0,"red pine"
5,0.0994145,0,"red pine"
6,0.0994145,0,"red pine"
11,0.0994145,0,"red pine"
11,0.0994145,0,"red pine"
5,0.0995897,0,"black spruce"
11,0.0995897,0,"black spruce"
7,0.0995897,0,"cedar"
5,0.0995897,0,"cedar"
5,0.0995897,0,"cedar"
9,0.0995897,0,"cedar"
19,0.0995897,0,"cedar"
18,0.0995897,0,"red pine"
11,0.0998312,0,"balsam fir"
14,0.0998312,0,"balsam fir"
6,0.0998312,0,"black spruce"
7,0.0998312,0,"black spruce"
7,0.0998312,0,"black spruce"
7,0.0998312,0,"cedar"
16,0.0998312,0,"cedar"
7,0.0998312,0,"cedar"
9,0.0998312,0,"cedar"
9,0.0998312,0,"cedar"
14,0.0998312,0,"cedar"
11,0.0998312,0,"cedar"
7,0.0998312,0,"red pine"
17,0.100452,0,"jackpine"
46,0.100452,0,"jackpine"
10,0.101679,0,"cedar"
14,0.101679,0,"cedar"
17,0.101679,0,"cedar"
16,0.101679,0,"cedar"
18,0.101679,0,"cedar"
15,0.101679,0,"cedar"
8,0.101679,0,"cedar"
7,0.101679,1,"cedar"
7,0.101679,0,"cedar"
13,0.101679,0,"jackpine"
9,0.101679,0,"jackpine"
10,0.101679,0,"jackpine"
22,0.10254,0,"aspen"
21,0.10254,1,"aspen"
23,0.10254,0,"aspen"
26,0.10254,0,"aspen"
25,0.10254,0,"aspen"
17,0.10254,0,"aspen"
21,0.10254,0,"aspen"
13,0.10254,1,"black spruce"
15,0.103689,1,"aspen"
25,0.103689,0,"black spruce"
7,0.105993,0,"black spruce"
8,0.105993,0,"black spruce"
9,0.105993,0,"black ash"
14,0.107644,0,"black spruce"
20,0.107644,0,"cedar"
51,0.107644,0,"cedar"
19,0.107769,0,"black spruce"
17,0.107769,0,"black spruce"
5.5,0.107769,0,"cedar"
29,0.107769,0,"red pine"
46,0.109636,0,"jackpine"
14,0.114878,0,"black spruce"
13,0.114878,1,"black spruce"
6,0.114878,0,"black spruce"
16,0.114878,0,"cedar"
14,0.114878,0,"cedar"
6,0.114878,0,"red pine"
6,0.115634,0,"black spruce"
6,0.115634,0,"black spruce"
23,0.115634,0,"cedar"
8,0.115634,0,"red pine"
17,0.115776,0,"cedar"
8,0.118361,0,"black spruce"
6,0.118361,0,"red maple"
8,0.118887,0,"cedar"
15,0.118887,1,"cedar"
13,0.118887,0,"red pine"
7,0.118887,0,"red pine"
14,0.118887,0,"red pine"
13,0.118887,0,"red pine"
15,0.118887,0,"red pine"
12,0.118887,0,"red pine"
8,0.118887,0,"red pine"
12,0.119263,0,"cedar"
10,0.119263,0,"red pine"
13,0.119263,0,"red pine"
12,0.119263,0,"red pine"
13,0.119263,0,"red pine"
22,0.120054,1,"black spruce"
15,0.120054,1,"cedar"
11.5,0.120054,1,"cedar"
14,0.120054,1,"cedar"
24,0.120054,1,"paper birch"
22,0.120054,1,"paper birch"
28,0.120054,1,"paper birch"
11,0.120054,1,"red pine"
15,0.120054,1,"red maple"
15,0.120149,0,"cedar"
7,0.120149,0,"cedar"
14,0.120149,0,"cedar"
16,0.120149,0,"cedar"
14,0.120149,0,"cedar"
13,0.120149,0,"cedar"
13,0.120149,0,"cedar"
10,0.120149,0,"red pine"
10,0.120149,0,"red pine"
6,0.120534,0,"black spruce"
9,0.120534,0,"black spruce"
12,0.120534,0,"cedar"
5,0.120534,0,"red pine"
10,0.120534,0,"red pine"
12,0.120534,0,"red pine"
11,0.120534,0,"red pine"
10,0.120534,0,"red pine"
11,0.120629,0,"black spruce"
14,0.120629,0,"cedar"
14,0.120629,0,"cedar"
15,0.120629,0,"cedar"
15,0.120629,0,"cedar"
7,0.120629,0,"cedar"
12,0.120629,0,"cedar"
20,0.120629,0,"paper birch"
15,0.120629,0,"paper birch"
16,0.120629,0,"paper birch"
30,0.120629,0,"paper birch"
18,0.120629,0,"paper birch"
25,0.120629,0,"paper birch"
13,0.120629,0,"paper birch"
20,0.120629,0,"paper birch"
20,0.120629,0,"paper birch"
38,0.128254,0,"jackpine"
23,0.128254,0,"jackpine"
28,0.128254,0,"jackpine"
23,0.128254,0,"jackpine"
24,0.128254,0,"jackpine"
23,0.128254,0,"jackpine"
42.5,0.128254,0,"jackpine"
30,0.128254,0,"red pine"
11,0.128353,0,"cedar"
10,0.128353,0,"cedar"
13,0.128353,0,"cedar"
13,0.128353,0,"cedar"
25,0.128353,0,"paper birch"
21,0.128353,0,"paper birch"
34,0.128353,0,"paper birch"
6,0.128477,0,"black spruce"
15,0.128477,0,"cedar"
13,0.128477,0,"cedar"
17,0.128477,0,"cedar"
12,0.128477,0,"cedar"
7,0.128477,0,"red maple"
7,0.12938,0,"black spruce"
5,0.12938,0,"black spruce"
7,0.12938,0,"black spruce"
21,0.130199,1,"paper birch"
28,0.130199,1,"paper birch"
27,0.130199,0,"paper birch"
36,0.130199,1,"paper birch"
14,0.130565,0,"cedar"
6,0.130565,0,"red pine"
13,0.131108,0,"aspen"
17,0.131108,0,"aspen"
27,0.131108,0,"paper birch"
7,0.13163,0,"black spruce"
15,0.13163,0,"cedar"
14,0.13163,1,"cedar"
21,0.13163,0,"cedar"
32,0.13163,0,"paper birch"
11,0.131718,0,"black spruce"
11,0.132051,0,"black spruce"
21,0.132051,0,"cedar"
21,0.132051,0,"cedar"
9,0.132051,0,"cedar"
7,0.132051,0,"cedar"
13,0.132093,0,"black spruce"
17,0.132093,0,"cedar"
28,0.132093,0,"cedar"
14,0.132093,0,"red pine"
14,0.132093,0,"red pine"
15,0.132093,0,"red pine"
12,0.132093,0,"red pine"
10,0.132585,0,"black spruce"
10,0.132585,0,"black spruce"
25,0.132585,1,"cedar"
19,0.132585,0,"cedar"
26,0.132585,1,"paper birch"
7,0.135751,1,"black spruce"
9,0.135751,1,"black spruce"
14,0.135751,0,"cedar"
14,0.135751,1,"paper birch"
22,0.135751,1,"paper birch"
19,0.135751,1,"paper birch"
15,0.135751,1,"paper birch"
21,0.137206,0,"red pine"
33,0.137242,0,"black ash"
5,0.138033,0,"black spruce"
5,0.138033,0,"black spruce"
5,0.138033,0,"black spruce"
5,0.138033,0,"cedar"
5,0.138033,0,"cedar"
6,0.138033,0,"cedar"
56,0.14235,0,"aspen"
30,0.14235,0,"paper birch"
18,0.14235,0,"red pine"
11,0.14235,0,"red pine"
6,0.144217,0,"black spruce"
20,0.144217,0,"cedar"
17,0.144217,0,"cedar"
9,0.144217,0,"cedar"
34,0.144217,0,"paper birch"
6,0.144217,0,"red pine"
17,0.144485,0,"aspen"
9,0.144485,1,"cedar"
23,0.144485,1,"paper birch"
14,0.144485,1,"paper birch"
36,0.145072,1,"black ash"
32,0.145072,1,"black ash"
30.5,0.145072,1,"black ash"
34.5,0.145072,0,"black ash"
37,0.145072,1,"black ash"
6,0.145446,0,"black spruce"
9,0.145446,0,"black spruce"
14,0.145446,0,"cedar"
6,0.145446,0,"cedar"
7,0.145446,0,"cedar"
6,0.145446,0,"cedar"
12,0.146615,1,"black spruce"
8,0.146615,1,"black spruce"
9,0.146615,0,"cedar"
16,0.146615,0,"cedar"
13,0.146615,0,"cedar"
12,0.146615,1,"cedar"
14,0.146615,0,"jackpine"
9,0.146615,0,"jackpine"
20,0.147894,0,"cedar"
14,0.147894,0,"cedar"
18,0.147894,0,"paper birch"
14,0.147894,0,"red pine"
14,0.148025,0,"black spruce"
11,0.148025,0,"black spruce"
13,0.148025,0,"black spruce"
9,0.148025,0,"black spruce"
26,0.148025,0,"cedar"
17,0.148025,0,"jackpine"
10,0.148025,0,"red maple"
6,0.149973,0,"black spruce"
5,0.149973,0,"black spruce"
27,0.149973,1,"cedar"
22,0.150451,0,"jackpine"
25,0.150451,0,"black ash"
35,0.150451,0,"black ash"
40,0.150451,0,"black ash"
9,0.152714,0,"black spruce"
6,0.152714,0,"black spruce"
22,0.152714,0,"jackpine"
19,0.152714,0,"jackpine"
26,0.152714,0,"jackpine"
21,0.152714,0,"jackpine"
17,0.152714,0,"jackpine"
5,0.152714,0,"red pine"
5,0.152714,0,"red pine"
24,0.153093,1,"aspen"
25,0.153093,0,"aspen"
29,0.153093,1,"aspen"
22,0.153093,1,"aspen"
27,0.153093,0,"aspen"
22,0.153093,1,"aspen"
19,0.153093,1,"aspen"
13,0.153093,1,"paper birch"
13,0.157774,1,"cedar"
12,0.157774,1,"paper birch"
18,0.157774,1,"paper birch"
14,0.157774,1,"paper birch"
14,0.157774,1,"paper birch"
23,0.157774,1,"paper birch"
14,0.157774,1,"paper birch"
16,0.157774,1,"paper birch"
11,0.157774,1,"paper birch"
9,0.157774,1,"paper birch"
14,0.157774,1,"paper birch"
10,0.157774,0,"red pine"
9,0.157774,0,"red pine"
5,0.163796,0,"black spruce"
14,0.163796,0,"black spruce"
5,0.163796,0,"black spruce"
10,0.164513,0,"black spruce"
10,0.164513,0,"black spruce"
11,0.164513,0,"red pine"
18,0.16455,0,"jackpine"
17,0.16455,0,"jackpine"
17,0.16455,0,"jackpine"
12,0.16455,0,"jackpine"
14,0.16455,0,"jackpine"
25,0.16455,0,"jackpine"
12,0.16455,0,"jackpine"
10,0.16455,0,"jackpine"
19,0.16455,0,"jackpine"
14,0.16455,0,"jackpine"
16,0.166452,0,"cedar"
8,0.166452,0,"cedar"
11,0.166452,0,"cedar"
19,0.166452,0,"cedar"
13,0.166452,0,"cedar"
11,0.166452,0,"red pine"
16,0.166936,0,"cedar"
18,0.166936,1,"cedar"
13,0.166936,0,"cedar"
13,0.166936,0,"cedar"
23,0.166936,0,"paper birch"
18,0.166936,0,"paper birch"
23,0.166936,0,"paper birch"
21,0.170198,0,"red pine"
13,0.170198,0,"red pine"
18,0.170198,0,"red pine"
14,0.170198,0,"red maple"
12,0.170198,0,"red maple"
15,0.170198,0,"red maple"
8,0.170198,0,"red maple"
12,0.170198,0,"red maple"
9,0.170198,0,"red maple"
28,0.170545,0,"aspen"
14,0.170545,0,"cedar"
9,0.173236,0,"aspen"
11.5,0.173236,0,"cedar"
14.5,0.173236,0,"cedar"
11,0.173236,0,"red pine"
12,0.173236,0,"red pine"
14,0.173236,0,"red pine"
16,0.173383,0,"black spruce"
7,0.173383,0,"black spruce"
10,0.173383,0,"black spruce"
30,0.173383,0,"red maple"
22,0.173782,0,"aspen"
31,0.173782,1,"cedar"
10,0.173782,0,"red pine"
8,0.174111,1,"black spruce"
8,0.174111,1,"black spruce"
7,0.174111,1,"black spruce"
10,0.174111,1,"black spruce"
6,0.174111,0,"black spruce"
6,0.174869,0,"balsam fir"
9,0.174869,0,"balsam fir"
5,0.174869,0,"balsam fir"
7,0.174869,0,"balsam fir"
8,0.174869,0,"balsam fir"
9,0.174869,0,"black spruce"
8,0.174869,0,"cedar"
6,0.174869,0,"cedar"
5,0.174869,0,"jackpine"
24,0.174869,0,"jackpine"
27,0.174869,0,"jackpine"
12,0.175609,0,"cedar"
10,0.175609,0,"jackpine"
14,0.175609,0,"jackpine"
6,0.175609,0,"jackpine"
13,0.175609,0,"jackpine"
16,0.175609,0,"jackpine"
6,0.175609,0,"jackpine"
7,0.175609,0,"jackpine"
20,0.176509,0,"aspen"
21,0.176509,0,"aspen"
20,0.176509,0,"aspen"
23,0.176509,0,"aspen"
22,0.176509,0,"aspen"
23,0.176509,0,"aspen"
21,0.176509,0,"aspen"
12,0.176509,1,"cedar"
21,0.176509,0,"cedar"
14,0.176509,0,"cedar"
11,0.176509,0,"red pine"
10,0.176509,0,"red pine"
12,0.176509,0,"red pine"
7,0.176954,0,"black spruce"
14,0.176954,1,"cedar"
13,0.176954,0,"cedar"
12,0.176954,0,"cedar"
6,0.176954,0,"cedar"
9,0.176954,0,"cedar"
12,0.176954,0,"cedar"
8,0.176954,1,"cedar"
23,0.17722,0,"aspen"
37,0.17722,0,"aspen"
33,0.17722,0,"cedar"
24,0.17722,0,"cedar"
19,0.17722,0,"red pine"
11,0.17722,0,"red maple"
8,0.17722,0,"red maple"
5,0.18105,1,"black spruce"
5,0.18105,0,"black spruce"
7,0.18105,1,"black spruce"
5,0.18105,0,"black spruce"
13,0.18105,1,"cedar"
13,0.18105,1,"cedar"
6,0.182465,0,"black spruce"
5,0.182465,0,"black spruce"
5,0.182465,0,"black spruce"
5,0.182465,0,"black spruce"
7,0.182465,0,"black spruce"
5,0.182702,0,"jackpine"
12,0.182702,0,"jackpine"
11,0.182702,0,"jackpine"
10,0.182702,0,"jackpine"
15,0.182702,0,"jackpine"
5,0.182702,0,"jackpine"
10,0.182702,0,"jackpine"
6,0.183632,0,"black spruce"
6,0.183632,0,"black spruce"
6,0.183632,0,"black spruce"
6,0.183632,0,"cedar"
23,0.183632,0,"cedar"
13,0.183632,0,"red pine"
17,0.183632,0,"red pine"
7,0.184542,0,"black spruce"
6,0.184542,0,"black spruce"
6,0.184542,0,"red pine"
9,0.184542,0,"red pine"
13,0.184542,0,"red pine"
27,0.184542,0,"red pine"
18,0.188526,1,"cedar"
24,0.188526,1,"cedar"
14,0.188526,0,"jackpine"
8,0.188526,0,"jackpine"
8,0.188526,0,"jackpine"
10,0.188526,0,"jackpine"
6,0.188526,0,"jackpine"
5,0.191521,0,"black spruce"
15,0.191521,0,"cedar"
13,0.191521,0,"cedar"
18,0.191521,0,"cedar"
21,0.191521,0,"paper birch"
27,0.191521,1,"paper birch"
6,0.191521,0,"red pine"
8,0.191521,1,"red pine"
12,0.192293,0,"black spruce"
25,0.192293,0,"red pine"
39,0.192293,0,"red pine"
7,0.192509,0,"black spruce"
10,0.192509,0,"cedar"
15,0.192509,0,"cedar"
19,0.192509,0,"cedar"
18,0.192509,1,"cedar"
10,0.192509,0,"cedar"
44,0.192509,1,"paper birch"
14,0.195046,0,"jackpine"
25,0.195046,0,"jackpine"
22,0.195046,0,"jackpine"
17,0.195046,0,"jackpine"
7,0.195646,0,"cedar"
12,0.195646,1,"cedar"
27,0.195646,0,"paper birch"
25,0.195646,1,"paper birch"
14,0.195646,0,"paper birch"
25,0.195646,0,"paper birch"
14,0.195646,1,"paper birch"
10,0.195646,0,"red pine"
7,0.195646,0,"red pine"
12,0.195646,0,"red pine"
14,0.197618,0,"black spruce"
8,0.197618,0,"black spruce"
10,0.197618,0,"black spruce"
16,0.197618,0,"black spruce"
11,0.197618,0,"black spruce"
15,0.197618,0,"cedar"
15,0.197618,0,"red pine"
14,0.198293,1,"black spruce"
14,0.198293,0,"black spruce"
10,0.198293,1,"black spruce"
40,0.198293,0,"cedar"
10,0.199172,0,"black spruce"
14,0.199172,0,"cedar"
21,0.199172,0,"red maple"
8,0.199172,0,"red maple"
21,0.199172,0,"red maple"
25,0.199172,0,"red maple"
18,0.19934,1,"jackpine"
38,0.19934,1,"paper birch"
36,0.19934,1,"paper birch"
28,0.19934,1,"paper birch"
36,0.19934,1,"paper birch"
9,0.201838,0,"cedar"
8,0.201838,0,"cedar"
22,0.201838,0,"cedar"
6,0.201838,0,"cedar"
7,0.201838,0,"red pine"
15,0.201838,0,"red pine"
21,0.20332,1,"black spruce"
15,0.20332,0,"red pine"
17,0.20332,0,"red pine"
23,0.20332,0,"red maple"
14,0.20332,0,"red maple"
8,0.204132,0,"black spruce"
10,0.206243,0,"black spruce"
30,0.206243,0,"jackpine"
13,0.206243,1,"jackpine"
9,0.206243,0,"jackpine"
10,0.206243,0,"red pine"
6,0.207769,0,"black spruce"
6,0.207769,0,"black spruce"
9,0.208116,0,"black spruce"
9,0.208116,0,"black spruce"
26,0.208116,0,"jackpine"
21,0.208116,0,"jackpine"
30,0.208116,0,"jackpine"
19,0.208116,0,"jackpine"
13,0.208116,0,"jackpine"
28,0.208116,0,"jackpine"
22,0.208116,0,"jackpine"
17,0.208116,0,"jackpine"
6,0.210034,1,"balsam fir"
7,0.210034,1,"black spruce"
7,0.210034,1,"black spruce"
5,0.210034,0,"red pine"
31,0.210467,1,"jackpine"
15,0.210467,0,"jackpine"
23,0.210467,0,"jackpine"
15,0.210467,0,"jackpine"
9,0.210467,0,"red pine"
8,0.211429,0,"cedar"
13,0.211429,0,"cedar"
9,0.211429,0,"cedar"
8,0.211429,0,"cedar"
12,0.211429,0,"cedar"
16,0.211429,1,"cedar"
15,0.211429,0,"cedar"
15,0.211429,1,"cedar"
11,0.211429,0,"cedar"
19,0.211429,0,"cedar"
10,0.211429,0,"cedar"
17,0.211429,1,"paper birch"
31,0.212418,1,"paper birch"
27,0.212418,1,"paper birch"
25,0.212801,0,"cedar"
12,0.212801,0,"cedar"
8,0.212801,0,"red pine"
11,0.212801,0,"red pine"
13,0.213854,1,"cedar"
8,0.213854,0,"cedar"
30,0.213955,1,"paper birch"
26,0.213955,1,"paper birch"
17,0.213955,0,"red pine"
9,0.214047,0,"black spruce"
8,0.214047,0,"black spruce"
